회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
住商 Agro international(株) ,Summit Agro international Ltd.,住商Agrointernational, ,Kiyoshi Kohno,기타법인, ,14945,서울특별시 영등포구 여의도동 대한투자신탁 6층,www.summit-agro.co.jp ,,건설용 석재 채굴 및 쇄석 생산업,1982-07-15,03월
가야산업주식회사,"KAYA INDUSTRY CO.,LTD",가야산업, ,박삼흠,기타법인,110111-0032914,220-81-11814,서울특별시 영등포동2가 28-130,없음,,건설용 석재 채굴 및 쇄석 생산업,1960-02-05,12월
주식회사 강남철강,"KANGNAM STEEL CO., LTD.",강남철강, ,성미라,기타법인,110111-3677155,119-81-98582,경기도 광명시 금오로 823-21 (옥길동), ,,철 광업,2007-05-16,12월
거봉산업(주),GURBONG INDUSTRY CORP.,거봉산업, ,도진권,기타법인,110111-0556295,126-81-19187,경기도 광주시 실촌읍 봉현리 633, ,,"석재, 쇄석 및 모래, 자갈 채취업",1988-01-07,12월
(주)거성개발,GEOSUNG DEVELOPMENT CO.LTD.,거성개발, ,조동윤,기타법인,131211-0021259,126-81-90443,경기도 여주시 흥천면 흥천로 308-119 (귀백리), ,,모래 및 자갈 채취업,2005-10-18,12월
(주)거창상운,"KEORCHANG TRANSPORTATION CO.,LTD.",거창상운, ,유대현,기타법인,124611-0265684,137-81-40055,인천광역시 서구 오류동 1536, ,,"석재, 쇄석 및 모래, 자갈 채취업",2001-10-15,12월
건양개발주식회사,konyangdevelopment,건양개발, ,황의성,기타법인,164511-0020636,313-81-26832,충청남도 보령시 웅천읍 만수로 658 (수부리  산6-2), ,,모래 및 자갈 채취업,2015-08-10,12월
(주)건우기업,kunwoo.co.LTD,건우기업, ,변천섭,기타법인,124511-0002236,136-81-09819,"인천광역시 강화군 양사면 인화로 356 (인화리, (주)건우기업)", ,,건설용 석재 채굴 및 쇄석 생산업,1993-12-06,12월
건우철강(주),"GeonwooSteel Co.,Ltd.",건우철강, ,김성열,기타법인,134811-0293366,143-81-19881,경기도 화성시 남양읍 주석로 148 (북양리), ,,철 광업,2014-02-20,12월
주식회사 경기개발,"Gyeonggi Develop Co.,Ltd.",경기개발, ,이기성,기타법인,141211-0031503,224-81-31904,강원도 원주시 귀래면 방아실길 51 (귀래리), ,,모래 및 자갈 채취업,2004-08-12,12월
주식회사 경동,"KYUNGDONG CO., LTD",경동, ,성유경,기타법인,144611-0000325,222-81-03192,경기도 성남시 분당구 수내로46번길 4 경동빌딩 11층 (수내동),www.kyungdong.co.kr,,"석탄, 원유 및 천연가스 광업",1974-02-01,12월
주식회사경부공영,kyungboo,경부공영, ,박사익,기타법인,184611-0012984,622-81-07743,경상남도 김해시 상동면 동북로437번길 83-43 경부공영,www.kyungboo.co.kr,,건설용 석재 채굴 및 쇄석 생산업,1994-10-28,12월
(주)경인산업개발,kyung in development company,경인산업개발, ,김용인,기타법인,134211-0018857,126-81-27479,경기도 광주시 오포읍 문형리 430-4, ,,건설용 석재 채굴 및 쇄석 생산업,1997-02-17,12월
