회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
주식회사 1004마트,1004mart,1004마트, ,윤주채,기타법인,141111-0066544,418-86-01752,강원도 강릉시 강변로 50 (회산동), ,,대형 마트,2020-07-20,12월
주식회사 1004식자재마트,stock company 1004 ingredients mart,1004식자재마트, ,윤주채,기타법인,144711-0033572,368-87-02657,강원특별자치도 동해시 이원길 113, ,,슈퍼마켓,2022-03-29,12월
(주) 21세기화장품,21Century Cosmetics,21세기화장품, ,장경아,기타법인,110111-1994585,107-81-85371,서울특별시 영등포구 당산동6가 331-1,-,,화장품 및 화장용품 도매업,2000-06-13,12월
주식회사 63쇼핑,63SHOPPING,63쇼핑, ,안준태,기타법인,110111-0398241,116-81-11174,서울특별시 영등포구 여의도동 60번지, ,,백화점,1985-07-27,12월
주식회사912엔터테인먼트,912ENTERTAINMENT INC.,912엔터테인먼트, ,이기영,기타법인,285011-0374392,194-81-01147,경기도 고양시 일산서구 덕산로195번길 137-17 (가좌동),www.912enter.com,,음반 및 비디오물 도매업,2018-02-01,12월
ACTS 삼원 주식회사,"SAMWON PAPER CO., LTD.",ACTS삼원, ,지영무,기타법인,110111-0720593,202-81-38440,서울특별시 중구 장교동 22-3,http://www.samwonpaper.co.kr,,"문구용품, 회화용품, 사무용품 도매업",1990-09-05,12월
AFHL,Asian Fortune Holdings Limited,AFHL, ,Raymond Ljew,기타법인, ,LL0063-0,말레이시아 라브안 연방지역87007 자란 오크 아왕 베사위스마 오샤닉 롯트B 레벨5, ,,기계장비 및 관련 물품 도매업,1996-02-14,01월
주식회사 AL네트웍스,"ALnetworks.,co.kr",AL네트웍스, ,박정훈,기타법인,170111-0617227,316-87-00487,대구광역시 달서구 성서서로51길 40 1층,www.angellooks.co.kr/,,반려용 동물 및 관련용품 소매업,2016-09-01,12월
(주)비지에프리테일,"BGF retail CO., LTD.",BGF리테일,282330,민승배,유가증권시장,110111-6555770,893-88-00792,서울특별시 강남구 테헤란로 405 BGF사옥,www.bgfretail.com,,체인화 편의점,2017-11-01,12월
(주)BHK,BHK Inc.,BHK,003990,고영분,기타법인,110111-0045686,101-81-20628,서울특별시 강남구 논현동 261 현대인텔렉스빌딩 7층,www.bhk.co.kr,,상품 종합 도매업,1964-08-18,12월
BK MEDICAL GROUP PTE. LTD.,BK MEDICAL GROUP PTE. LTD.,BKMEDICALGROUPPTE.LTD., ,KIM BYUNG GUN,기타법인, ,201501737N,100 TRAS STREET #04-12 100 AM SINGAPORE (079027), ,,화장품 및 화장용품 도매업,2015-01-16,12월
주식회사 C&K모터스,"C&K MOTORS Co., Ltd.",C&K모터스, ,최종열,기타법인,110111-4667147,214-88-82725,"서울특별시 서초구 반포대로 144 흰물결빌딩1층,2층(서초동)",www.infiniti-cnk.com,,자동차 및 부품 판매업,2011-09-01,12월
씨제이프레시웨이(주),CJ Freshway Corporation,CJ프레시웨이,051500,이건일,코스닥시장,180111-0083442,603-81-11270,경기도 용인시 기흥구  기곡로 32,www.cjfreshway.com,,가공식품 도매업,1988-10-27,12월
DAIMEI SHOUJI (SINGAPORE) PTE LTD,DAIMEI SHOUJI (SINGAPORE) PTE LTD,DAIMEISHOUJI(SINGAPORE)PTELTD, ,강정우,기타법인, ,36771,8 EU TONG SEN STREET #13-96 THE CENTRAL SINGAPORE 059818, ,,상품 중개업,1998-09-22,12월
