회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(주)강화파라다이스,KANGHWAPARADISE,강화파라다이스, ,조임제,기타법인,110111-0981004,119-81-62764,인천광역시 강화군 송해면 하도리 208-7,www.kanghwaparadise.co.kr,,"화장터 운영, 묘지 분양 및 관리업",2003-01-25,12월
주식회사 건곤이감,gungonleegam,건곤이감, ,박찬우,기타법인,110111-1775977,105-86-03683,경기도 의정부시 의정부동 494 센트럴타워 17층,www.ucwedding.co.kr,,예식장업,1999-09-18,12월
주식회사 검단,Geom dan,검단, ,김창남,기타법인,134211-0159502,233-81-08708,"인천광역시 연수구 송도과학로 32 에스2202호(송도동, 송도테크노파크IT센터)", ,,그 외 기타 협회 및 단체,2015-01-23,12월
주식회사 경도기업,"KYONG DO INDUSTRY CO.,LTD.",경도기업, ,황광수,기타법인,124411-0049892,137-81-39975,경기도 김포시 풍무동 1-10번지,www.cleanpro.co.kr,,산업용 세탁업,2001-10-08,12월
주식회사 경동티에스,KYUNG DONG TS,경동티에스, ,손연호,기타법인,110111-0984503,118-81-08525,"서울특별시 영등포구 국회대로76길 22 (여의도동, 기계산업진흥회)",www.kdts.co.kr/,,그 외 기타 개인 및 가정용품 수리업,1993-11-08,12월
주식회사 경성모터스,Kyoungsung Motors,경성모터스, ,김인영,기타법인,110111-1351511,109-81-49309,서울특별시 강서구 염창동 273-34, ,,자동차 종합 수리업,1997-01-01,12월
(주)경우라이프,KYUNGWOOLIFE,경우라이프, ,이규석,기타법인,110111-4238021,201-86-13591,서울특별시 서초구 효령로 313 (서초동) 다샤인빌딩 5층,www.kwlife.co.kr,,장례식장 및 장의관련 서비스업,2009-12-09,12월
경원문화재단,KYUNGWON FOUNDATION,경원문화재단, ,유중근,기타법인,114222-0000574,106-82-01128,서울특별시 강남구 강남대로 542,kwmoonhwa.or.kr,,그 외 기타 협회 및 단체,1984-11-16,12월
(주)고든하우징,GODENHOUSING,고든하우징, ,이진수,기타법인,110111-4837063,104-86-40856,제주특별자치도 제주시 구남로2길 54 (아라일동), ,,산업 단체,2012-04-04,12월
고려상조주식회사,Goryeosangjo Ltd.,고려상조, ,황병태,기타법인,210111-0043134,402-81-58497,전라북도 전주시 완산구 중화산동2가 571-2 4층, ,,장례식장 및 장의관련 서비스업,2004-03-15,12월
재단법인고촌장학재단, ,고촌장학재단, ,김도근,기타법인,184222-0001311,621-82-00123,부산광역시 금정구 금사동 7, ,,그 외 기타 협회 및 단체,1990-03-31,12월
주식회사 공감도시개발,GONGGAMDOSIGAEBAL,공감도시개발, ,은상용,기타법인,170111-0802919,620-86-01980,"대구광역시 중구 대봉로 200 (대봉동, 세원빌딩)", ,,산업 단체,2021-01-11,12월
주식회사공감도시개발2단지,GONGGAM DOSOGAEBAL2,공감도시개발2단지, ,은상용,기타법인,170111-0825713,356-88-01889,대구광역시 수성구 청수로24길 59 (두산동)1동 107호 쉉헤센더테라스, ,,산업 단체,2021-06-28,12월
재단법인 곽재선 문화재단,EDAILY FOUNDATION OF CULTURE,곽재선문화재단, ,곽재선,기타법인,110322-0053624,401-82-11064,"서울특별시 중구 통일로 92 (순화동, 케이지타워)",efc.edaily.co.kr/,,그 외 기타 협회 및 단체,2022-04-17,12월
광산현대서비스(주),Kwangsan Hyundai Service Inc.,광산현대서비스, ,조용균,기타법인,200111-0380190,410-86-81790,광주광역시 광산구 동곡로 663 (송촌동), ,,자동차 종합 수리업,2013-11-01,12월
주식회사 광장투자개발,"GwangJang Investment & Development Co., Ltd.",광장투자개발, ,황시빈,기타법인,134811-0347361,367-88-00240,"경기도 화성시 동탄중심상가2길 2 (반송동, 아인슈타인타워) 502호",없음,,그 외 기타 협회 및 단체,2015-10-01,12월
광주남문장례식장(주),NAMMUN,광주남문장례식장, ,양승남,기타법인,200111-0362495,408-86-00834,"광주광역시 남구 서문대로499번길 26-15 (송하동, 광주남문장례식장)",www.남문.com,,장례식장 및 장의관련 서비스업,2013-03-13,12월
(주)광주텔레콤,"KWANGJU TELECOM CO., LTD.",광주텔레콤, ,최정원,기타법인,200111-0038096,409-81-18502,"광주광역시 북구 금남로 146 광주 서구 운천로162번길 29(쌍촌동, 쌍촌동용산그린아파트)", ,,산업 단체,1993-02-03,12월
주식회사교산,weddinghall dream palace,교산, ,박석훈,기타법인,160111-0138077,314-81-50505,대전광역시 서구 변동 70-9, ,,예식장업,2002-05-09,12월
주식회사 교원라이프,"KYOWON LIFE, Inc.",교원라이프, ,장평순,기타법인,110111-4430833,104-86-30469,"서울특별시 중구 을지로 51 (을지로2가, 내외빌딩)", ,,장례식장 및 장의관련 서비스업,2010-09-08,12월
구민주식회사,"KUMIN CO., LTD",구민, ,김철호,기타법인,180111-0614932,602-81-45078,부산광역시 영도구 대교동1가 188-1,*,,장례식장 및 장의관련 서비스업,2007-12-07,12월
(주)국민상조,"Kookminsangjo co.,ltd.",국민상조, ,라기천,기타법인,110111-2921983,117-81-48806,서울특별시 양천구 신정동 321-6 센트럴프라자 1112, ,,장례식장 및 장의관련 서비스업,2004-01-07,12월
주식회사 국빈장례문화원,gukbin funeral hall,국빈장례문화원, ,김성호,기타법인,200111-0498240,343-86-00819,광주광역시 서구 회재로 825 (매월동), ,,장례식장 및 관련 서비스업,2017-07-01,12월
(주)국화,GUKHWA,국화, ,임은남,기타법인,200111-0383061,410-86-83594,광주광역시 서구 회재로 825 (매월동),www.국화장례문화원.com,,장례식장 및 장의관련 서비스업,2013-12-11,12월
(주)궁바이오랩스,THE GUNG,궁바이오랩스, ,장경희,기타법인,110111-4718354,120-87-79796,"서울특별시 강남구 봉은사로111길 13 (삼성동, 마당빌딩)", ,,개인 간병 및 유사 서비스업,2011-10-31,03월
(주)그랜드부민,grandbumin,그랜드부민, ,강동훈,기타법인,220111-0085605,616-81-89570,제주특별자치도 제주시 도남동, ,,장례식장 및 관련 서비스업,2011-08-26,12월
주식회사그랜드컨벤션,GRANDCONVENTION,그랜드컨벤션, ,이항구,기타법인,151211-0029522,304-81-28817,충청북도 제천시 청전대로 51 (청전동),www.jcgrand.co.kr/,,예식장업,2013-08-21,12월
주식회사 그린랜드,"GREENLAND.CO.,LTD",그린랜드, ,최재원,기타법인,134211-0049696,126-81-73876,경기도 광주시 퇴촌면영동리 산37-2,www.spagreenland.co.kr,,욕탕업,2003-09-02,12월
주식회사 그린랜드,"GREEN LAND CO.,LTD",그린랜드, ,이태경,기타법인,175211-0040653,513-81-77697,경상북도 칠곡군 북삼읍 인강5길 75 (인평리), ,,욕탕업,2013-05-21,12월
주식회사 그린산업,"Green Industry Co,, Ltd.",그린산업, ,유성곤,기타법인,164911-0021462,311-81-50092,"충청남도 예산군 덕산면 온천단지3로 45-7 (사동리, 스파캐슬)", ,,산업용 세탁업,2014-11-01,12월
그린장례문화원(주),greenfuneral,그린장례문화원, ,김영관,기타법인,200111-0150410,409-81-67018,광주광역시 북구 하서로663번길 97 (용전동), ,,장례식장 및 장의관련 서비스업,2002-03-01,12월
주식회사근훈웰빙스카이,"kunhon  wellbeing sky. co.,ltd",근훈웰빙스카이, ,김대기,기타법인,181211-0014923,610-81-12087,울산광역시 울주군 범서읍 구영리 1004번지, ,,욕탕업,1991-03-12,12월
(주)글로리아,Gloria.Co,글로리아, ,박찬희,기타법인,170111-0112871,514-81-26186,대구광역시 달서구 유천동 360-1,www.gloriawedding.co.kr,,예식장업,1996-11-22,12월
(주)금강레져타운,KUMGANGLASERTOWN,금강레져타운, ,최상무,기타법인,211111-0030081,401-81-39629,전라북도 군산시 미원동 370, ,,기타 개인 서비스업,2010-03-22,12월
금강문화허브(주),"KUMKANG MUTUAL AID CO.,LTD",금강문화허브, ,김호철,기타법인,230111-0086487,610-81-58953,"서울특별시 중구 통일로 92 (순화동, 에이스타워) 19층",www.ikumkang.com,,장례식장 및 장의관련 서비스업,2002-05-30,12월
금강산랜드주식회사,"KUMKANG SANLAND CO.,LTD",금강산랜드, ,"이인순, 정욱교",기타법인,115611-0001807,128-81-04074,경기도 파주시 월롱면 위전리 89-1,kumkangsanland.co.kr,,욕탕업,1982-11-18,12월
(주)금호로지스,KUMHOROJIS,금호로지스, ,이지태,기타법인,211111-0039794,401-81-52689,전북특별자치도 군산시 대야면 석화들길 189, ,,노동조합,2014-01-01,12월
(주)금호상조,KHsangjo,금호상조, ,"기노석, 이광숙",기타법인,200111-0218242,409-81-88629,광주광역시 북구 제봉로 301,www.khsangjo.com,,장례식장 및 장의관련 서비스업,2005-11-22,12월
주식회사 금홍,KUMHONG LTD.,금홍, ,나우태,기타법인,170111-0330019,514-81-64273,대구광역시 달서구 화암로73길 8-21 1층 (대곡동),www.elybaden.com,,욕탕업,2008-03-10,12월
기업과사람들(주),CP,기업과사람들, ,이우필,기타법인,161511-0063598,312-81-68182,"충청남도 천안시 서북구 성정1길 8 (성정동, 엔피엘)2층", ,,협회 및 단체,2004-04-10,12월
주식회사 길쌈상조,"gilssam sangzo co., ltd",길쌈상조, ,왕성희,기타법인,160111-0200389,314-81-79249,"대전광역시 서구 배재로 78 (도마동, 계룡파크빌) 101-2호",www.gilssam.co.kr,,장례식장 및 장의관련 서비스업,2015-12-16,12월
김천온천니아 주식회사,GIMCHEONONCHEONNIA,김천온천니아, ,김정숙,기타법인,176011-0102191,304-86-00250,경상북도 김천시 시청앞길 10 (신음동) 김천온천니아, ,,욕탕업,2015-11-10,12월
주식회사 까사그랑데,"CASA GRANDE CENTRO Co., Ltd",까사그랑데, ,신동윤,기타법인,110111-8696697,403-81-85702,"서울특별시 광진구 능동로 87 401,501,601,701호 (자양동, 건대입구역자이엘라)",www.casagrande.co.kr/,,예식장업,2023-07-21,12월
(재)꽃과어린왕자,KOLON FOUNDATION,꽃과어린왕자, ,서창희,기타법인,110122-0036088,104-82-08197,"경기도 과천시 코오롱로 11 (별양동, 코오롱)코오롱타워 17층", ,,그 외 기타 협회 및 단체,2002-12-26,12월
나눔축산운동본부,NANUMCHUKSAN MOVEMENT,나눔축산운동본부, ,안병우 이승호,기타법인,110321-0038751,104-82-12269,서울특별시 송파구 동남로23길 56 (오금동) 4층,www.nanumchuksan.or.kr,,그 외 기타 협회 및 단체,2012-02-20,12월
나이스엔지니어링(주),NAIS ENGINEERING,나이스엔지니어링, ,조희길,기타법인,110111-6718740,433-81-01168,"서울특별시 서초구 서초중앙로 53 8층(서초동, 대림빌딩)", ,,가전제품 수리업,2018-04-12,12월
(주)나현산업개발,nahyun construction ,나현산업개발, ,이효정,기타법인,284111-0141419,169-88-00082,경기도 남양주시 별내중앙로 26 (별내동) 803호, ,,그 외 기타 협회 및 단체,2015-05-13,12월
주식회사 남대구전문장례식장,YEIJIWON,남대구전문장례식장, ,갈성기,기타법인,170111-0811340,790-86-02177,대구광역시 달서구 성서공단로 312 대구광역시 달서구 성서공단로 317, ,,장례식장 및 장의관련 서비스업,2021-03-15,12월
남천안현대서비스(주),"NamCheonAn Hyundai service co.,ltd",남천안현대서비스, ,이교열,기타법인,161511-0061774,312-81-66433,충청남도 천안시 동남구 천안천변길 79-27 (신방동), ,,자동차 종합 수리업,2004-01-02,12월
재단법인 남촌재단,JKHuh Foundation,남촌재단, ,허창수,기타법인,110122-0043299,101-82-14822,"서울특별시 종로구 필운대로 80 (옥인동, GS건설연구소)", ,,그 외 기타 협회 및 단체,2006-12-22,12월
(재)네이버문화재단,NAVER CULTURAL FOUNDATION,네이버문화재단, ,채선주,기타법인,135622-0004458,129-82-11051,"경기도 성남시 분당구 황새울로360번길 42 (서현동, 16층)",www.naverfoundation.org/,,그 외 기타 협회 및 단체,2010-05-10,12월
(주)넥스젠아이앤씨,NEXZEN INC,넥스젠아이앤씨, ,이승환,기타법인,110111-3403071,120-86-93068,서울특별시 서초구 언남길 65 (양재동), ,,자동차 전문 수리업,2016-02-17,12월
넥스트미디어홀딩스(주),Next Media Holding Ltd.,넥스트미디어홀딩스, ,이정우,기타법인,110111-1997860,107-81-85217,서울특별시 강남구 논현동 206-16, ,,그 외 기타 분류 안된 개인 서비스업,2000-06-20,12월
재단법인 넥슨재단,NEXONFOUNDATION,넥슨재단, ,김정욱,기타법인,110122-0121904,388-82-00231,경기도 성남시 분당구 판교로256번길 25 (삼평동) GB2동 5층,www.nexonfoundation.org,,그 외 기타 협회 및 단체,2018-02-01,12월
재단법인 넷마블문화재단,netmarble cultural foundation,넷마블문화재단, ,방준혁,기타법인,250122-0037219,415-82-15701,"서울특별시 구로구 디지털로26길 38 (구로동, G-Tower) 14층", ,,그 외 기타 협회 및 단체,2017-08-16,12월
주식회사 노비아갈라,"Noviagala Co., Ltd.",노비아갈라, ,김미란,기타법인,176011-0084266,513-81-77663,대구광역시 동구 동촌로 87 (검사동), ,,예식장업,2013-07-18,12월
농심근로복지기금, ,농심근로복지기금, ,"홍긍일, 지재영",기타법인,115071-0002454,118-82-01698,서울특별시 동작구 신대방2동 농심사옥 농심근로복지기금, ,,그 외 기타 협회 및 단체,1996-09-23,06월
농업회사법인 주식회사 로하스팜,lohasfarm,농업회사법인로하스팜, ,윤규진,기타법인,284411-0067552,127-86-40937,경기도 포천시 관인면 뗏마루길 272 (사정리), ,,산업 단체,2012-12-13,12월
늘곁애라이프온(주),LIFEON,늘곁애라이프온, ,정연기,기타법인,180111-0043917,604-81-04641,"부산광역시 연제구 중앙대로 1066 (연산동, 동천빌딩)",www.aidclub.com,,그 외 기타 분류 안된 개인 서비스업,1982-04-16,12월
(주)능암,"ngam.Ltd,",능암, ,김진옥,기타법인,151111-0022578,303-81-37744,"충청북도 충주시 앙성면 새바지길 37 (능암리, 능암온천랜드)", ,,욕탕업,2003-10-28,12월
다나상조주식회사,"danasangjo.Co.,Ltd.",다나상조, ,김웅열,기타법인,170111-0331041,503-81-76027,대구광역시 달서구 두류3동 495 -43번지,www.danasj.co.kr,,장례식장 및 장의관련 서비스업,2007-05-01,12월
주식회사 다온플랜,"Daonplan Co.,Ltd.",다온플랜, ,정윤모,기타법인,131111-0278597,129-86-58694,경기도 성남시 분당구 정자동 KT본사 2층,www/daonplan.com,,장례식장 및 장의관련 서비스업,2011-04-01,12월
다옴세종개발(주),DAONSEJONG,다옴세종개발, ,김주영,기타법인,150111-0317508,152-86-02583,충청북도 청주시 흥덕구 예체로 155 (봉명동), ,,예식장업,2021-10-26,12월
주식회사 다원위드,DAWONWITH,다원위드, ,하대용,기타법인,160111-0413651,492-86-00334,"대전광역시 유성구 대학로 31 1405호 (봉명동, 한진리조트)", ,,개인 간병 및 유사 서비스업,2015-12-01,12월
주식회사 다이렉트컴즈,"Directcoms.Co.,Ltd",다이렉트컴즈, ,장용준,기타법인,110111-5435080,261-81-13735,"서울특별시 강남구 도산대로 221 (신사동, 동남빌딩) 603호",directwedding.co.kr,,결혼 상담 및 준비 서비스업,2014-06-10,12월
(주)다인상조,dainsangjo,다인상조, ,최순삼,기타법인,200111-0259501,409-86-02102,광주광역시 북구 우치로 47 (중흥동) 4층,www.dainsangjo.co.kr,,장례식장 및 장의관련 서비스업,2008-06-01,12월
주식회사 닥터메포츠,Dr.Meports,닥터메포츠, ,송경애,기타법인,180111-1291391,747-87-01905,부산광역시 연제구 거제시장로 42 (거제동),부산 연제구 거제시장로 42,,욕탕업,2020-06-01,12월
재단법인 단빛재단,DANVIT FOUNDATION,단빛재단, ,신희영,기타법인,110322-0060405,664-82-00659,"서울특별시 종로구 청계천로 41 (서린동, 영풍빌딩) 20층",danvit.org/,,그 외 기타 협회 및 단체,2024-09-25,12월
(주)대경씨앤디,DAEKYUNG C&D,대경씨앤디, ,박윤훈,기타법인,170111-0572405,601-86-00092,대구광역시 수성구 청수로24길 41 (두산동) 타미우스 1105호, ,,그 외 기타 협회 및 단체,2015-07-01,12월
주식회사 대경컨벤션,daekyung con,대경컨벤션, ,양희준,기타법인,110111-6044088,553-81-01502,"경기도 안산시 단원구 광덕1로 171 (고잔동, AW웨딩컨벤션) 지하층", ,,예식장업,2019-05-15,12월
주식회사 대구전문장례식장,DAEGUFUNERAL SERVICES-HALL,대구전문장례식장, ,박은희,기타법인,170111-0285793,502-81-79661,"대구광역시 동구 금호강변로 71 (용계동, 대구전문장례식장)",www.daegu-fn.com,,장례식장 및 장의관련 서비스업,2005-04-20,12월
주식회사 대노복지사업단,korean senior citizens welfare agency,대노복지사업단, ,박남희,기타법인,110111-3919606,106-86-59521,"서울특별시 용산구 임정로 54 (효창동, (사)대한노인회중앙회 별관)",www.koreapeople.net/,,장례식장 및 장의관련 서비스업,2008-06-20,12월
대림수암장학문화재단,DAELIM SUAM SCHOLARSHIP AND CULTURE FOUNDATION,대림수암장학문화재단, ,차국헌,기타법인,110122-0023168,102-82-07829,"서울특별시 종로구 통일로 134 (평동, 디타워(돈의문))", ,,그 외 기타 협회 및 단체,1989-11-29,12월
대명개발(주),DAE MYOUNG GAEBAL,대명개발, ,김승구,기타법인,110111-1106750,213-81-98278,서울특별시 은평구 불광2동 500번지,hangukwed.com,,예식장업,1998-05-07,12월
(주)대명컨벤션,DAEMYUNG CONVENTION lnc,대명컨벤션, ,서경선,기타법인,110111-1066409,120-81-42467,"서울특별시 강남구 테헤란로87길 22 3층 (삼성동, 한국도심공항터미널)",www.sonofeliceconvention.com,,예식장업,1994-08-12,12월
(재)대산문화재단,The Daesan Foundation,대산문화재단, ,신창재,기타법인,110122-0025875,102-82-06951,"서울특별시 종로구 종로 1 (종로1가, 교보생명빌딩) 9층",daesan.or.kr/,,그 외 기타 협회 및 단체,1992-12-29,12월
대성공업(주),Daesung Industries Co. Ltd.,대성공업, ,임재풍,기타법인,110111-0053960,110-81-28982,서울특별시 영등포구 당산동6가 337-23, ,,예식장업,1965-05-19,04월
대신네트웍스(주),"DAESHIN NETWORKS Co., Ltd.",대신네트웍스, ,연규현,기타법인,130111-0013069,124-81-37312,경기도 수원시 영통구 중부대로 327 (원천동) 대신빌딩3층, ,,산업 단체,1989-06-26,06월
재단법인 대신송촌문화재단,Daishin Songchon Foundation,대신송촌문화재단, ,양홍석,기타법인,111222-0005220,412-82-03550,"전라남도 나주시 송현길 41-7 (송촌동, 대신송촌문화재단)", ,,그 외 기타 협회 및 단체,1990-07-02,12월
대우김해서비스(주),Daewoo Kim-hae service corp.,대우김해서비스, ,문병근,기타법인,184611-0009098,622-81-05032,경상남도 김해시 안동 256-1, ,,자동차 종합 수리업,1995-01-09,12월
대우남대구서비스(주),Daewoo South-daegu service corp.,대우남대구서비스, ,권기덕,기타법인,170111-0062282,514-81-14661,대구광역시 달서구 대천동 530, ,,자동차 종합 수리업,1993-05-18,12월
대우분당서비스(주),Daewoo Bun-dang service corp.,대우분당서비스, ,손두원,기타법인,131111-0020411,129-81-16059,경기도 성남시 분당구 야탑동 403, ,,자동차 종합 수리업,1996-02-24,12월
대우사상서비스(주),Daewoo Sa-sang service corp.,대우사상서비스, ,신대균,기타법인,180111-0138338,606-81-47520,부산광역시 사상구 학장동 708-1, ,,자동차 종합 수리업,1994-03-18,12월
대우수원서비스(주),Daewoo Su-won service corp,대우수원서비스, ,유재희,기타법인,134511-0011219,135-81-09704,경기도 용인시 기흥구 영덕동 548번지, ,,자동차 종합 수리업,1994-04-07,12월
대우양산서비스(주),Daewoo Yang-san service corp.,대우양산서비스, ,이인규,기타법인,180111-0133635,618-81-15680,경상남도 양산시 북정동 291-5, ,,자동차 종합 수리업,1994-04-28,12월
대우익산서비스(주),Daewoo Ik-san service corp,대우익산서비스, ,유홍철,기타법인,214911-0006207,403-81-07797,전라북도 익산시 신흥동 853-5, ,,자동차 종합 수리업,1994-03-28,12월
대우일산서비스(주),Daewoo il-san service corp.,대우일산서비스, ,조성호,기타법인,115911-0009277,128-81-13665,경기도 고양시 일산서구 덕이동 270, ,,자동차 종합 수리업,1995-01-09,12월
(주)대우전자서비스,Daewoo Electronics Service Corp.,대우전자서비스, ,백성식,기타법인,110111-1498777,104-81-42785,광주광역시 광산구 용아로 559 (장덕동),www.dwesvc.com,,개인 및 소비용품 수리업,1997-12-29,12월
대우제주서비스(주),Daewoo Je-ju service corp.,대우제주서비스, ,배진홍,기타법인,220111-0018771,616-81-17853,제주특별자치도 제주시 화북1동 2163-2, ,,자동차 종합 수리업,1997-07-01,12월
대우조선해양상조(주),DSME MUTUAL AID.CO.LTD,대우조선해양상조, ,이준호,기타법인,110111-4017087,211-88-21883,서울특별시 강남구 논현동 221-17 8층, ,,"화장터 운영, 묘지 분양 및 관리업",2008-12-22,12월
대우청주서비스(주),Daewoo Cheong-joo service corp.,대우청주서비스, ,서창교,기타법인,150111-0018651,315-81-07001,충청북도 청주시 흥덕구 신봉동 214-2, ,,자동차 종합 수리업,1995-09-25,12월
대우포항서비스(주),Daewoo Po-hang service corp.,대우포항서비스, ,장후식,기타법인,174611-0017770,506-81-18292,경상북도 포항시 남구 연일읍 오천리 598, ,,자동차 종합 수리업,1995-04-25,12월
주식회사 대운씨앤디,Daewoon C & D,대운씨앤디, ,지상운,기타법인,170111-0577398,249-87-00246,대구광역시 달성군 현풍면 테크노대로 61 중리 505-2, ,,그 외 기타 협회 및 단체,2015-08-28,12월
(주)대원크리닝,DAEWON CLEANING,대원크리닝, ,최인오,기타법인,234111-0070650,621-86-03021,"경상남도 양산시 소주공단1길 97 (주남동, (주)대원크리닝)", ,,산업용 세탁업,2013-05-30,12월
대준산업(주),"DAE JUN CO., LTD",대준산업, ,김영대,기타법인,110111-0266539,214-81-10300,서울특별시 서초구 서초동 1318-5, ,,"화장터 운영, 묘지 분양 및 관리업",1980-02-15,12월
(주)대청레포츠센터,DAE CHEONG REPORTS CENTER CO.LTD,대청레포츠센터, ,최용섭,기타법인,110111-2418047,120-86-31932,서울특별시 강남구 개포동 대청타워 13-3 대청타워 4층,www.nkfg.com,,예식장업,2002-01-10,12월
(주)대한공업사,DAEHAN,대한공업사, ,최창목,기타법인,134711-0014459,125-81-15854,경기도 평택시 평택로 124 (신대동), ,,자동차 종합 수리업,1968-06-03,12월
(주)대한라이프보증,Daehan life guarantee,대한라이프보증, ,엄애란,기타법인,110111-3292911,212-81-72877,"경기도 성남시 분당구 대왕판교로 670 B-702 (삼평동,유스페이스2)",www.dh-life.com,,장례식장 및 장의관련 서비스업,2005-08-25,12월
대한민국재향군인회,Korean Veterans Association,대한민국재향군인회, ,박세환,기타법인,110121-0004558,219-82-00503,서울특별시 성동구 성수동1가 656-75 에스콰이어빌딩,www.korvagreen.or.kr,,그 외 기타 협회 및 단체,1959-02-15,12월
대한임상병리사협회,KAMT,대한임상병리사협회, ,장인호,기타법인,111221-0000496,120-82-03312,서울특별시 성북구 종암로 41 (종암동) 대한임상병리사회관, ,,협회 및 단체,1966-06-12,12월
대한항공 노동조합,Labor Union Korean Air,대한항공노동조합, ,최대영,기타법인,114943-0000584,109-82-04196,서울특별시 강서구 공항대로2길 11 (공항동), ,,노동조합,1981-05-04,12월
주식회사 대현하이웨이,daehyun hiway,대현하이웨이, ,남양우,기타법인,110111-3935165,120-87-30677,서울특별시 강남구 삼성동 59-10, ,,장례식장 및 장의관련 서비스업,2008-07-15,12월
주식회사 더누벨웨딩컨벤션,THE NOUVELLE CONVENTION,더누벨웨딩컨벤션, ,정경진,기타법인,171711-0145267,671-81-01926,경상북도 포항시 남구 희망대로 805 (대도동), ,,예식장업,2020-03-05,12월
주식회사 더뉴,THENEW Convention Wedding,더뉴, ,전건오,기타법인,110111-5939652,595-87-00251,"서울특별시 강서구 공항대로36길 57 (내발산동, 더뉴컨벤션웨딩)", ,,예식장업,2016-01-07,12월
더리본 주식회사,THE REBORN,더리본, ,허준,기타법인,180111-0657891,605-81-92018,"부산광역시 부산진구 자유평화로 11(범천동,누리엔13층)",www.knnlife.com,,장례식장 및 장의관련 서비스업,2009-01-01,12월
더블에이치엠,DOUBLEHM,더블에이치엠, ,정승국,기타법인,110111-7925419,741-81-02302,서울특별시 성동구 자동차시장1길 9, ,,자동차 종합 수리업,2021-06-17,12월
주식회사 더블유웨딩,"W-Wedding Co., Ltd.",더블유웨딩, ,이병규,기타법인,110111-3753905,204-86-05241,서울특별시 중랑구 묵동 175-1,w-wedding.co.kr,,예식장업,2007-09-13,12월
(주)더블유웨딩,corporation W wedding,더블유웨딩, ,김보민,기타법인,180111-0865056,607-86-09470,"부산광역시 연제구 중앙대로 1000 (연산동, 국민연금공단부산회관빌딩)", ,,결혼 상담 및 준비 서비스업,2013-07-01,12월
(주)더블제이디앤씨,WJDANDC ,더블제이디앤씨, ,구성호,기타법인,110111-4956219,120-87-87980,울산광역시 울주군 온양읍 덕망로 290 (망양리), ,,그 외 기타 협회 및 단체,2012-09-12,12월
더빈컨벤션주식회사,thebiin,더빈컨벤션, ,빈창범,기타법인,150111-0204052,158-81-00119,충청북도 청주시 흥덕구 강내면 학천길 5 (학천리),www.thebiin.co.kr,,예식장업,2015-06-01,12월
주식회사 더스타,"The Star Co.,Ltd.",더스타, ,구은회,기타법인,164811-0062799,312-86-32957,충청남도 아산시 배방읍 희망로46번길 19-3 엑스큐브 8층, ,,예식장업,2012-03-05,12월
