회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(복)동곡사회복지재단,Donggok Social Welfare Foundation,(복)동곡사회복지재단, ,박진오,기타법인,140122-0001233,221-82-04346,"강원특별자치도 춘천시 중앙로 23 (중앙로1가, 강원일보사)", ,,사회복지 서비스업,1989-12-29,12월
(복)이랜드복지재단,E.LAND Welfare Foundation,(복)이랜드복지재단, ,이광일,기타법인,116132-0007818,105-82-10361,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠) 204호", ,,그 외 기타 비거주 복지 서비스업,1996-03-02,12월
(의)백상의료재단 가족사랑요양병원,baek sang,(의)백상의료재단가족사랑요양병원, ,박진만,기타법인,214833-0008259,403-82-13850,전라북도 김제시 하동1길 13 (하동), ,,요양 병원,2012-08-01,12월
(의) 삼성의료재단,KANGBUK SAMSUNG HOSPITAL,(의)삼성의료재단, ,육현표,기타법인,110133-0000642,110-82-02349,"서울특별시 종로구 새문안로 29 (평동, 강북삼성병원)", ,,종합 병원,1979-04-01,12월
(의) 소망의료재단가나안요양병원,Somang Medical  Foundation Ghanaian,(의)소망의료재단가나안요양병원, ,박영남,기타법인,201433-0006024,415-82-12043,"전라남도 해남군 마산면 마산로 433-15 (화내리, 가나안요양병원)", ,,요양 병원,2006-07-06,12월
(의)영훈의료재단,SUN MEDICAL CENTER (Young Hoon Medical Group),(의)영훈의료재단, ,선두훈,기타법인,160133-0000329,314-82-01199,"대전광역시 중구 목중로 29 (목동, 선병원)",www.sunhospital.com,,종합 병원,1985-02-28,12월
(의)우정의료재단,Woojung Medical Foundation,(의)우정의료재단, ,이중근,기타법인,250133-0031961,573-82-00111,서울특별시 금천구 금하로 594 (시흥동),서울특별시 중구 세종대로9길 42(서소문동),,종합 병원,2017-07-06,12월
주식회사 경기시니어,SILVERKING,경기시니어, ,이찬재,기타법인,124411-0254673,684-88-01635,경기도 김포시 김포한강4로 140 (장기동), ,,노인 요양 복지시설 운영업,2020-01-21,12월
고양시일산종합사회복지관,goyang city ilsanwelfare center,고양시일산종합사회복지관, ,양성필,기타법인,280132-0002710,128-82-08039,"경기도 고양시 일산서구 고양대로 654 (일산동, 일산종합사회복지관)",www.ilsanwelfare.or.kr,,종합복지관 운영업,2003-04-03,12월
(주)나비메디컬센타,navimedicalcenter,나비메디컬센타, ,"이규범, 황은주",기타법인,150111-0247929,203-88-01095,"충청북도 청주시 청원구 상당로 305 (내덕동, 농협생명화재중앙회)", ,,노인 요양 복지시설 운영업,2018-01-01,12월
주식회사 네오웰빙,Neo Wellbeing Corporation,네오웰빙, ,이진숙,기타법인,160111-0412455,291-88-00190,대전광역시 서구 계룡로264번길 52 (월평동),www.hyoinnursinghome.co.kr/,,노인 양로 복지시설 운영업,2015-11-16,12월
재단법인 농협재단,Nong Hyup Foundation,농협재단, ,강호동,기타법인,110122-0038620,104-82-08784,"서울특별시 영등포구 국제금융로8길 2 (여의도동, 농협재단빌딩) 18층 재단사무국",jaedan.nonghyup.com,,그 외 기타 비거주 복지 서비스업,2004-07-07,12월
뉴한양개발(주),"Newhanyang Development Co., Ltd.",뉴한양개발, ,"이용식, 이호재",기타법인,131411-0272593,134-86-86455,"서울특별시 금천구 벚꽃로 234 209호 (가산동,에이스하이엔드타워6차)", ,,병원,2012-02-16,12월
(주)닥터김노인요양센터,"HAPPY SILVER CO.,LTD.",닥터김노인요양센터, ,여상진,기타법인,170111-0353532,504-81-76923,대구광역시 중구 동인동3가 371-1, ,,노인 요양 복지시설 운영업,2008-04-10,12월
주식회사 대교뉴이프,"DAEKYO NEWIF Co., Ltd",대교뉴이프, ,강호준,기타법인,110111-8655271,529-87-03299,"서울특별시 관악구 보라매로3길 23 (봉천동, 대교빌딩)",daekyonewif.com/,,방문 복지서비스 제공업,2023-06-05,12월
(주)대명요양센터,DAEMYUNG GOLDEN CARES,대명요양센터, ,한만희,기타법인,110111-3887465,107-87-08449,서울특별시 영등포구 양평동4가 68-1 대명빌딩,www.goldencares.kr/,,노인 요양 복지시설 운영업,2008-05-01,12월
주식회사 대한복지,"Korea welfare Co., Ltd.",대한복지, ,정화철,기타법인,110111-4139667,212-81-87953,서울특별시 강동구 고덕동 480-1, ,,노인 요양 복지시설 운영업,2009-07-16,12월
더케이서드에이지(주),The-K Third-age Corp.,더케이서드에이지, ,박석배,기타법인,195111-0009441,608-81-62148,경상남도 창녕군 고암면 상대2길 16 (중대리), ,,노인 거주 복지시설 운영업,2006-03-16,12월
주식회사 더행복고양,THEHAPPY,더행복고양, ,이찬재,기타법인,134211-0290067,324-86-03208,경기도 고양시 일산동구 공릉천로 300-28 (지영동), ,,노인 요양 복지시설 운영업,2024-01-10,12월
주식회사더헤리티지너싱홈,HERITAGENURSINHHOME,더헤리티지너싱홈, ,김영희,기타법인,110111-4562678,105-87-55626,"경기도 성남시 분당구 대왕판교로 155 (금곡동, 더헤리티지)헤리티지너싱홈",www.theheritage.kr,,노인 요양 복지시설 운영업,2021-10-17,12월
(주)도타이,DOTAI,도타이, ,정길자,기타법인,110111-3783902,214-88-18387,"서울특별시 강남구 자곡로 204-25 (자곡동, 더시그넘하우스)", ,,노인 양로 복지시설 운영업,2007-11-07,12월
도타이청라,DotaiCheongna,도타이청라, ,권혁중,기타법인,120111-1061027,637-88-01833,"인천광역시 서구 청라에메랄드로102번길 26 (청라동, 서진프라자) 104호", ,,노인 양로 복지시설 운영업,2020-05-21,12월
동보에버그린 주식회사,Donbo Evergreen Inc,동보에버그린, ,윤화현,기타법인,110111-3398199,109-86-01881,서울특별시 양천구 목2동 515-12 5층, ,,기타 비거주 복지 서비스업,2006-02-01,12월
주식회사 동부케어,"Dongbucare Co,.Ltd",동부케어, ,진락천,기타법인,134811-0212431,135-86-45419,"경기도 화성시 병점중앙로 155 5층 (진안동, 렉스몰)",www.idbc.kr,,기타 비거주 복지 서비스업,2014-07-14,12월
재단법인 롯데복지재단,Lotte Welfare Foundation,롯데복지재단, ,이송설,기타법인,110122-0027235,104-82-05453,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점본점)", ,,그 외 기타 비거주 복지 서비스업,1994-08-29,12월
(주)롱라이프그린케어,LONGLIFE GREENCARE,롱라이프그린케어, ,김성인,기타법인,135811-0139452,124-86-55902,"경기도 용인시 기흥구 동백중앙로16번길 16-9 701호(중동, 이호지식산업센터)",https://www.longlifecity.com/,,방문 복지서비스 제공업,2007-05-11,12월
리베르메디컬,libermedical,리베르메디컬, ,김형선,기타법인,134811-0744921,210-86-02763,"경기도 화성시 동탄순환대로 823 (영천동, 에이팩시티) 4층 409호", ,,일반 병원,2023-05-31,12월
주식회사모아맘,moamom,모아맘, ,임진석,기타법인,110111-2894651,220-86-75211,서울특별시 강남구 역삼동 607-20, ,,보육시설 운영업,2003-11-12,12월
(주)미드림,MIDREAM,미드림, ,이재원,기타법인,160111-0194516,314-81-77464,대전광역시 유성구 봉명동 694-6, ,,노인 요양 복지시설 운영업,2005-08-04,12월
주식회사 미소들,MISO Co.,미소들, ,김금자,기타법인,110111-2614728,113-81-89557,서울특별시 구로구 개봉1동 43-1, ,,노인 요양 복지시설 운영업,2002-09-23,12월
(주)바이오메디칼홀딩스,BIO MEDICAL HOLDINGS CORPORATION,바이오메디칼홀딩스, ,정현진,기타법인,110111-2416744,220-86-27849,"서울특별시 송파구 오금로 87 (방이동, 잠실리시온1208호)", ,,그 외 기타 보건업,2002-01-09,12월
백마씨앤엘(주),BAEKMA C&L CO.LTD,백마씨앤엘, ,한문희,기타법인,110111-1826704,209-81-39004,"서울특별시 성북구 종암로 90 (종암동, 노블레스타워)", ,,노인 요양 복지시설 운영업,2004-12-30,12월
보람상조리더스 주식회사,boramkorva,보람상조리더스, ,오준오,기타법인,110111-3352690,215-86-78803,"서울특별시 중구 세종대로 73 26층(서소문동, 태평로빌딩)",korvafamily.com,,사회복지 서비스업,2005-12-01,12월
주식회사 보아스재활타운,boaz rehabilitation town inc.,보아스재활타운, ,신길순,기타법인,285011-0249529,128-86-93946,경기도 고양시 일산동구 견달산로 316 (문봉동)99-34, ,,사회복지 서비스업,2013-09-12,12월
(주)부승니드유,"Buseung Need You Co., Ltd.",부승니드유, ,안흥청,기타법인,141211-0041370,224-81-39565,강원도 원주시 원일로 173 (학성동), ,,사회복지 서비스업,2007-07-02,12월
재단법인 비지에프복지재단,BGF WELFARE FOUNDATION,비지에프복지재단, ,양경희,기타법인,110322-0048477,621-82-14234,서울특별시 종로구 동숭3길 26-12 2층,www.bgfwelfare.or.kr/,,그 외 기타 비거주 복지 서비스업,2017-05-10,12월
사회복지법인 미래우학재단,MIRAEWUHAK FOUNDATION,사회복지법인미래우학재단, ,이용수,기타법인,254132-0014022,107-82-10784,"서울특별시 영등포구 국회대로 800 (여의도동, 진미파라곤) 713호", ,,사회복지 서비스업,2005-08-19,12월
