회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
INTER SEA AS,INTER SEA AS,INTERSEAAS, ,HANS INGE NILSEN,기타법인,977388236    ,44925,Bonesskogen 124 5154 Bones Norway, ,,기타 산업진흥 행정,1997-04-15,12월
THE GOVERNMENT OF SINGAPORE,THE GOVERNMENT OF SINGAPORE,THEGOVERNMENTOFSINGAPORE, ,LEE EK TIEING,기타법인, ,1190,"서울특별시 중구 칠패로 37 (봉래동1가, HSBC빌딩)", ,,중앙 최고 집행기관,1965-08-09,01월
건설근로자공제회,Construction Workers Mutual Aid Association,건설근로자공제회, ,강팔문,기타법인,114671-0023200,138-82-02371,서울특별시 강남구 역삼1동 삼성제일빌딩 2층 건설근로자공제회,www.cwma.or.kr,,연금업,1997-12-09,03월
공무원연금관리공단,Government Employees Pension Service,공무원연금관리공단, ,안양호,기타법인,111271-0001316,220-82-00935,서울특별시 강남구 언주로 508,www.geps.or.kr,,일반 공공 행정,1982-02-01,12월
국민연금공단,National Pension Service,국민연금공단, ,김태현,기타법인,110171-0007134,219-82-01593,"전라북도 전주시 덕진구 기지로 180 (만성동, 국민연금공단)",www.nps.or.kr,,연금업,1987-09-29,12월
주식회사 글로벌트레이드,globaltrade inc.,글로벌트레이드, ,JIN MINGXUE(김명학),기타법인,110111-8448668,515-87-02893,"서울특별시 영등포구 선유로3길 10 (문래동5가, 하우스디비즈) B-109", ,,기타 산업진흥 행정,2022-10-13,12월
금융감독원,Financial Supervisory Service,금융감독원, ,,기타법인, , ,서울특별시 영등포구 여의도동 금융감독원빌딩, ,,정부기관 일반 보조 행정, ,12월
남대문세무서,NAMDAEMUN,남대문세무서, ,김영배,기타법인, ,104-83-00455,서울특별시 중구 저동1가 남대문세무서,http://s.nts.go.kr/ndm,,재정 및 경제정책 행정,1960-01-01,12월
주식회사 디에디트,"THE EDIT CO., LTD",디에디트, ,최혁재,기타법인,110111-6858447,439-81-01211,서울특별시 강남구 학동로33길 21 (논현동) 디에디트 1층,www.theedit.co.kr,,기타 산업진흥 행정,2018-09-01,12월
(주)명현유통,myung hyun trd,명현유통, ,정재운,기타법인,124611-0250370,122-81-66164,경기도 이천시 호법면 덕평로 236 (매곡리)3층, ,,"공공행정, 국방 및 사회보장 행정",2001-04-28,12월
사립학교교직원연금공단,The Korea Teachers Pension,사립학교교직원연금공단, ,주성도,기타법인,111271-0001259,116-82-01445,서울특별시 영등포구 여의도동 사학연금회관 27-2,www.ktpf.or.kr,,연금업,1980-06-24,12월
주식회사 삼마,samma,삼마, ,김정만,기타법인,135811-0220938,124-87-35617,경기도 수원시 권선구 서수원로63번길 169 (오목천동), ,,기타 산업진흥 행정,2012-11-01,12월
서울관광마케팅(주),"SEOUL TOURISM MARKETING CO., LTD",서울관광마케팅, ,김병태,기타법인,110111-3836868,104-86-12627,"서울특별시 중구 삼일대로 340 (저동1가, 나라키움저동빌딩) 9층",www.seoulwelcome.com,,문화 및 관광 행정,2008-02-04,12월
신보2022제19차유동화전문 유한회사,"Kodit 2022 the 19th Securitization Specialty Co.,Ltd.",신보2022제19차유동화전문유한회사, ,장은재,기타법인,110114-0302303,519-81-03062,서울특별시 종로구 종로 408 (숭인동) 2층, ,,산업재해 및 기타 사회보장 보험업,2022-10-05,12월
(주)씨티엘네트웍스,CTL NETWORKS,씨티엘네트웍스, ,천무진,기타법인,110111-3459462,104-86-01625,"서울특별시 강남구 언주로 651 8층, (논현동, 삼원빌딩)",www.ctlplus.co.kr,,문화 및 관광 행정,2006-05-17,12월
아민코 주식회사,AMINKO,아민코, ,이광일,기타법인,134811-0729121,397-81-02750,"경기도 화성시 팔탄면 시청로 934-6 (구장리, 우리들유통타운) D동 2층 307호", ,,기타 산업진흥 행정,2023-02-08,12월
주식회사 에스제이석유,sjoil,에스제이석유, ,심원태,기타법인,180111-1581833,121-86-44008,"부산광역시 남구 유엔로 155 (대연동, 문화주유소) 2층 202호", ,,기타 산업진흥 행정,2024-11-05,12월
(주)용준,Young jun,용준, ,이용창,기타법인,200111-0560594,247-86-01693,"광주광역시 서구 상무시민로 96 (치평동, 종산타워)4층401호", ,,기타 산업진흥 행정,2019-04-24,12월
웰체인쉽핑주식회사,"WELLCHAINSHIPPPING CO., LTD",웰체인쉽핑, ,"박득기, 김경룡",기타법인,230111-0121556,610-81-81740,울산광역시 남구 장생포고래로183번길 15 2층(장생포동), ,,건설 및 운송 행정,2006-04-17,12월
재단법인 전북연구원,JEONBUK DEVELOPMENT INSTITUTE,전북연구원, ,강현직,기타법인,215122-0006689,402-82-16835,"전라북도 전주시 완산구 콩쥐팥쥐로 1696 (효자동3가, 전북연구원)",.ㅈㅈㅈ,,지방행정 집행기관,2015-03-10,12월
(주)주목,"JOOMOK CO., LTD.",주목, ,오두만,기타법인,120111-0165193,121-81-26403,인천광역시 중구 서해대로179번길 19 (항동7가), ,,기타 산업진흥 행정,1998-02-01,12월
코리아경기도주식회사,Korea Gyeonggido Corp.,코리아경기도, ,이창훈,기타법인,131111-0464427,696-88-00546,"경기도 성남시 분당구 판교로289번길 20 (삼평동, 판교테크노밸리스타트업캠퍼스) 2동 6층",www.kgcbrand.com,,기타 산업진흥 행정,2016-11-09,12월
