회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
주식회사 1997빠리엔터,1997 Parisenter Corp,1997빠리엔터, ,정용화,기타법인,170111-0814922,243-81-02021,대구광역시 수성구 용학로 84 (두산동), ,,공연 기획업,2021-04-07,12월
(주)AD엔터테인먼트,"AD Entertainment Co.,Ltd.",AD엔터테인먼트, ,이영관,기타법인,180111-0302545,621-81-36172,부산광역시 금정구 구서2동184-3 해강빌딩5층,www.ADEXE.com,,공연 기획업,1999-11-01,12월
그랜드코리아레저(주),"Grand Korea Leisure Co.,Ltd",GKL,114090,윤두현,유가증권시장,110111-3301457,104-81-96184,서울특별시 강남구 삼성로 610 삼성동,www.grandkorea.com,,기타 사행시설 관리 및 운영업,2005-09-06,12월
주식회사 KBS비즈니스,"KBS Business Company, Ltd",KBS비즈니스, ,박승규,기타법인,110111-0621064,109-81-20807,서울특별시 강서구 공항대로 376 KBS비즈니스,www.kbs88.co.kr,,종합 스포츠시설 운영업,1989-04-01,12월
주식회사 KBS 아트비전,KBS ART VISION LTD.,KBS아트비전, ,정철훈,기타법인,110111-0803597,116-81-41095,"서울특별시 영등포구 여의대방로 359 (여의도동, KBS별관)",www.kbsart.co.kr,,그 외 기타 창작 및 예술관련 서비스업,1991-09-11,12월
주식회사 LG스포츠,LG SPORTS Ltd.,LG스포츠, ,김인석,기타법인,110111-0359300,120-81-57558,서울특별시 송파구 올림픽로 25 종합운동장내 야구장,www.lgtwins.com,,스포츠 클럽 운영업,1983-11-07,12월
MABUCHI S&T INC,MABUCHI S&T INC,MABUCHIS&TINC, ,HIROTARO MABUCHI,기타법인, ,812-66-410001,1842-7 TATSUNO KAMIINA NAGANO JAPAN, ,,그 외 기타 분류 안된 오락관련 서비스업,2000-04-04,03월
(주)가산골프연습장,"ks,ltd",가산골프연습장, ,강순세,기타법인,234111-0132129,299-87-02521,경상남도 양산시 동면 금산2길 32 201호(금산리),-,,그 외 기타 스포츠 서비스업,2022-08-24,12월
(유)가승개발,Gaseung Development Company,가승개발, ,이승민,기타법인,134514-0003989,119-88-00340,"경기도 용인시 기흥구 고매로 86 (고매동, 신일빌딩) 3층", ,,골프장 및 스키장 운영업,2016-01-21,12월
가야개발(주),"GAYA Development Co., Ltd.",가야개발, ,김영섭,기타법인,184611-0000913,622-81-00022,"경상남도 김해시 상동면 인제로 502 (묵방리, 가야컨트리클럽)",www.gayacc.com,,골프장 운영업,1984-02-28,12월
(주) 가오닉스스포츠,"gaonixsports co.,ltd",가오닉스스포츠, ,김진우,기타법인,110111-1106148,211-87-05284,서울특별시 강남구 신사동 575,http://www.gaonixclub.co.kr,,체력단련시설 운영업,2001-12-10,12월
