회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(사)과학기술인공제회,Korea Scientists&Engineers Mutual-aid Association,(사)과학기술인공제회, ,조청원,기타법인,114621-0031218,220-82-05643,서울특별시 강남구 삼성동 144-27 본솔빌딩 13층,www.sema.or.kr,,그 외 기타 분류 안된 금융업,2003-07-07,12월
(에스아이에이치) 스타 인베스트 홀딩스 리미티드,(SIH) Star Invest Holdings Limited,(에스아이에이치)스타인베스트홀딩스리미티드, ,"Tee Choon Kiong, Tay Tong Poh",기타법인, ,C61006,"66 Old Bakery Street, Valletta, Malta", ,,그 외 기타 분류 안된 금융업,2013-07-01,12월
(자)도미누스네오스타전략성장사모투자전문회사,Dominus-Neostar Strategic Growth Private Equity Fund,(자)도미누스네오스타전략성장사모투자전문회사, ,도미누스인베스트먼트(주),기타법인,110113-0015974,214-88-86361,"서울특별시 서초구 서초대로 240 (서초동, 서초동동일하이빌)", ,,신탁업 및 집합투자업,2011-11-11,12월
143삼성미타유동화전문유한회사,143 Samsung Mitaa Securitization Specialty L.L.C.,143삼성미타유동화전문유한회사, ,미합중국인조경구,기타법인,110114-0080032, ,서울특별시 강남구 테헤란로 427 (삼성동), ,,그 외 기타 분류 안된 금융업,2009-04-16,12월
1퍼센트월배당 주식회사,1 Percent Monthly Dividend Inc.,1퍼센트월배당, ,이규호,기타법인,110111-8054514,265-88-02277,"서울특별시 강남구 테헤란로 419 (삼성동, 강남파이낸스플라자) 15층",1percent.site/,,기타 금융 투자업,2021-10-14,12월
2000년박현주7호성장형펀드,MIRAEASSET 2000 PARKHYEONJOO GROWTH FUND7,2000년박현주7호성장형펀드, ,정태화,기타법인,110111-1865182,107-81-77527,서울특별시 영등포구 여의도동 45-1 미래에셋빌딩,www.miraeasset.co.kr,,신탁업 및 집합투자업,2000-01-26,01월
2010신보뉴챌린지건설제1호유동화전문 유한회사,"New challenge kodit 2010 construction the 1st Securitization Specialty Co., Ltd.",2010신보뉴챌린지건설제1호유동화전문유한회사, ,심은정,기타법인,110114-0096401,107-87-44412,"서울특별시 영등포구 은행로 14 (여의도동, 한국산업은행)", ,,그 외 기타 분류 안된 금융업,2010-12-02,12월
2011기보그린하이텍제이차유동화전문 유한회사,"2011 KIBO Green Hi-tech 2nd Securitization Specialty Co., Ltd.",2011기보그린하이텍제이차유동화전문유한회사, ,장희선,기타법인,110114-0106606, ,서울특별시 영등포구 은행로 14 (여의도동), ,,그 외 기타 분류 안된 금융업,2011-12-06,03월
2011기보그린하이텍제일차유동화전문 유한회사,"2011 KIBO Green Hi-tech1st Securitization Specialty Co., Ltd.",2011기보그린하이텍제일차유동화전문유한회사, ,심은정,기타법인,110114-0104915,107-87-59540,서울특별시 영등포구 은행로 14 (여의도동), ,,그 외 기타 금융 지원 서비스업,2011-10-13,01월
2011신보그레이트제1차유동화전문 유한회사,"2011 Great Kodit the 1st Securitization Specialty Co., Ltd.",2011신보그레이트제1차유동화전문유한회사, ,심은정,기타법인,110114-0100286, ,서울특별시 중구 남대문로 84 (남대문로2가), ,,그 외 기타 분류 안된 금융업,2011-05-02,08월
2011신보그레이트제2차유동화전문유한회사,"2011 Great Kodit the 2nd Securitization Specialty Co., Ltd",2011신보그레이트제2차유동화전문유한회사, ,조형일,기타법인,110114-0101531,107-87-53546,서울특별시 영등포구 은행로 14 (여의도동), ,,그 외 기타 분류 안된 금융업,2011-06-09,12월
2011신보그레이트제3차유동화전문 유한회사,"2011 Great Kodit the 3rd Securitization Specialty Co., Ltd.",2011신보그레이트제3차유동화전문유한회사, ,심은정,기타법인,110114-0103941, ,서울특별시 영등포구 은행로 14 (여의도동),.,,그 외 기타 분류 안된 금융업,2011-10-16,12월
2011신보뉴라이프제1호유동화전문 유한회사,"2011 New Life Kodit the 1st Securitization Specialty Co., Ltd.",2011신보뉴라이프제1호유동화전문유한회사, ,조형일,기타법인,110114-0106276, ,"서울특별시 중구 을지로 79 (을지로2가, 기업은행)",.,,그 외 기타 분류 안된 금융업,2011-11-23,12월
2011신보뉴챌린지건설제1호유동화전문유한회사,"New Challenge Kodit 2011 Construction the 1st Securitization Specialty Co., Ltd.",2011신보뉴챌린지건설제1호유동화전문유한회사, ,조형일,기타법인,110114-0098936,107-87-49213,서울특별시 영등포구 은행로 14 (여의도동), ,,그 외 기타 분류 안된 금융업,2011-03-16,06월
2011신보뉴챌린지건설제2호유동화전문유한회사,"New Challenge Kodit 2011 Construction the 2nd Securitization Specialty Co., Ltd",2011신보뉴챌린지건설제2호유동화전문유한회사, ,조형일,기타법인,110114-0101466,107-87-53449,서울특별시 영등포구 은행로 14 (여의도동), ,,그 외 기타 분류 안된 금융업,2011-06-13,12월
2011신보뉴챌린지건설제3호유동화전문 유한회사,"New Challenge Kodit 2011 Construction the 3rd Securitization Specialty Co., Ltd.",2011신보뉴챌린지건설제3호유동화전문유한회사, ,심은정,기타법인,110114-0103933,107-87-58196,서울특별시 영등포구 은행로 14 (여의도동), ,,그 외 기타 분류 안된 금융업,2011-09-16,09월
2012기보그린하이텍제일차유동화전문 유한회사,"2012 KIBO Green Hi-tech 1st Securitization Specialty Co., Ltd.",2012기보그린하이텍제일차유동화전문유한회사, ,장은재,기타법인,110114-0117489, ,"서울특별시 중구 을지로 79 (을지로2가, 기업은행)", ,,그 외 기타 분류 안된 금융업,2012-09-07,12월
2013기보제이차유동화전문 유한회사,"2013 KIBO 2nd Securitization Specialty Co., Ltd.",2013기보제이차유동화전문유한회사, ,장은재,기타법인,110114-0137544,104-86-51765,"서울특별시 중구 을지로 79 (을지로2가, 기업은행)",-,,그 외 기타 금융업,2013-11-06,02월
2013기보제일차유동화전문 유한회사,"2013 KIBO 1st Securitization Specialty Co., Ltd.",2013기보제일차유동화전문유한회사, ,장희선,기타법인,110114-0129963,104-86-48519,"서울특별시 중구 을지로 79 (을지로2가, 기업은행)", ,,그 외 기타 분류 안된 금융업,2013-05-15,09월
2014기보제삼차유동화전문 유한회사,"2014 Kibo the 3th Securitization Specialty Co., Ltd.",2014기보제삼차유동화전문유한회사, ,허서윤,기타법인,110114-0155512,107-88-36210,"서울특별시 영등포구 은행로 14 (여의도동, 한국산업은행내)", ,,그 외 기타 분류 안된 금융업,2014-12-08,12월
2014기보제이차유동화전문 유한회사,"2014 KIBO 2nd Securitization Specialty Co., Ltd.",2014기보제이차유동화전문유한회사, ,장은재,기타법인,110114-0152576,107-88-31272,"서울특별시 영등포구 은행로 14 (여의도동, 한국산업은행)",www.,,기타 금융업,2014-10-14,01월
2014기보제일차유동화전문 유한회사,"2014KIBO 1st Securitization Specialty Co., Ltd",2014기보제일차유동화전문유한회사, ,정동현,기타법인,110114-0144739,104-86-54802,"서울특별시 중구 을지로 79 (을지로2가, 기업은행)",www,,그 외 기타 분류 안된 금융업,2014-04-23,02월
2014수협은행제1차㈜,"2014 Suhyup-bank 1st Co.,Ltd. ",2014수협은행제1차, ,심은정,기타법인,110111-5379147,230-81-05361,"서울특별시 송파구 오금로 62 (신천동, 수협중앙회빌딩)", ,,그 외 기타 분류 안된 금융업,2014-03-31,12월
2014 스틱성장동력엠앤에이 사모투자전문회사,2014 STIC Growth Engine M&A Private Equity Fund,2014스틱성장동력엠앤에이사모투자전문회사, ,스틱인베스트먼트(주),기타법인,110113-0018522,120-88-21670,"서울특별시 강남구 테헤란로78길 12 (대치동, MSA빌딩)", ,,기타 금융업,2014-11-20,12월
