회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(주)EG메탈,"EG Metal Co.,Ltd",EG메탈, ,이인,기타법인,230111-0164506,610-86-02148,울산광역시 남구 황성동 836,-,,"금속류 해체, 선별 및 원료 재생업",2010-04-08,12월
NC부산(주),NC BUSAN,NC부산, ,강일영 강경진,기타법인,180111-0559914,603-81-62667,부산광역시 기장군 정관면 산단로 642,www.ncnet.co.kr,,지정 외 폐기물 처리업,2006-06-26,12월
NC양산(주),NC YANGSAN,NC양산, ,강경진,기타법인,181211-0014045,610-81-13107,경상남도 양산시 산막공단북5길 29 (산막동),www.ncnet.co.kr,,지정 외 폐기물 처리업,1990-12-26,12월
NC울산(주),"NC ULSAN CD.,LTD",NC울산, ,강경진,기타법인,181211-0022603,610-81-16287,울산광역시 남구 용잠동 529-18, ,,지정 폐기물 처리업,1993-09-01,12월
NC함안(주),NCHAMAN,NC함안, ,강일영 강경진,기타법인,194311-0024686,608-81-75264,경상남도 함안군 칠서면 공단안길 66-95,www.ncnet.co.kr,,"지정 외 폐기물 수집, 운반업",2009-02-23,12월
(주)가나엔텍,GANA ENTEC,가나엔텍, ,황창원,기타법인,285011-0176269,128-86-49057,경기도 남양주시 진접읍 금강로 976 (내곡리) 2층, ,,하수 처리업,2010-05-10,12월
주식회사 가람,"GARAM Co.,Ltd.",가람, ,"강진수, 서재석",기타법인,131411-0144768,134-86-04716,충청남도 아산시 인주면 걸매리 1045,-,,"금속류 해체, 선별 및 원료 재생업",2003-09-03,12월
(주)가이아환경,"GAIA ENVITONMENT Co., Ltd",가이아환경, ,배해자,기타법인,180111-0080208,606-81-40930,부산광역시 사상구 낙동대로815번길 28-31 (감전동), ,,"지정 외 폐기물 수집, 운반업",1991-04-25,12월
주식회사강남주민협의체,GangNam Jumin Hyeopche,강남주민협의체, ,이석선,기타법인,110111-4801307,120-87-79383,"서울특별시 강남구 개포로 623,634 (개포동대청타워)", ,,"지정 외 폐기물 수집, 운반업",2012-02-27,12월
강릉아랫물길주식회사,"Kangreung Sewage Pipe Co., ltd",강릉아랫물길, ,문인섭,기타법인,110111-3736662,104-86-09909,강원도 강릉시 사천면 석교리 394-3, ,,하수 처리업,2007-08-16,12월
(주)강북공영,"Gangbukgongyoung Co.,Ltd.",강북공영, ,김희철,기타법인,110111-1382615,210-81-22819,경기도 양주시 광적면 화합로 26 (효촌리), ,,"건설 폐기물 수집, 운반업",1997-02-26,12월
