회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
AJ네트웍스 주식회사,"AJ Networks Co.,Ltd.",AJ네트웍스,095570,곽정호,유가증권시장,110111-1874654,214-86-48586,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",www.ajnet.co.kr,,컴퓨터 및 사무용 기계ㆍ장비 임대업,2000-02-10,12월
Arrowhead Research Corporation,Arrowhead Research Corporation,ArrowheadResearchCorporation, ,Christopher Anzalone,기타법인, ,31162,"201 S. Lake Avenue, Ste 703 Pasadena, CA, 91101", ,,그 외 기타 분류 안된 사업지원 서비스업,2009-10-14,12월
CUCKOO INTERNATIONAL (MAL) BERHAD,CUCKOO INTERNATIONAL (MAL) BERHAD,CUCKOOINTERNATIONAL(MAL)BERHAD, ,HOE KIAN CHOON,기타법인, ,201-40-1026804(1102894-H),"경기도 시흥시 엠티브이북로 349 (정왕동, 쿠쿠홈시스주식회사)", ,,그 외 기타 개인 및 가정용품 임대업,2014-07-24,12월
DFMS(주),DFMS(주),DFMS, ,"이병서, 신홍기",기타법인,110111-3008293,206-81-90735,서울특별시 강남구 논현동 105,www.dfms.co.kr,,사업시설 유지ㆍ관리 서비스업,2004-05-07,12월
"Fitch Ratings., Ltd ","Fitch Ratings., Ltd ","FitchRatings.,Ltd", ,ARD Monro-Davies,기타법인, ,13628,서울특별시 영등포구 여의도동 26-4,http://www.fitchratings.com,,신용 조사 및 추심 대행업,1997-12-03,12월
(주)NH여행,NH TOUR co. Ltd,NH여행, ,백현,기타법인,110111-3689366,212-81-79642,서울특별시 종로구 신문로1가 광화문오피시아,www.nhtour.co.kr,,여행사업,2007-06-01,12월
NICE인프라(주),"NICE Infra Co., Ltd",NICE인프라,063570,이현석,코스닥시장,110111-1848980,214-86-45634,"서울특별시 마포구 새창로 7 6층, 7층, 8층(도화동)",www.nicetcm.co.kr,,기타 사업지원 서비스업,2000-01-11,12월
Paradigm Investment Limited,Paradigm Investment Limited,ParadigmInvestmentLimited, ,WongWai Bun,기타법인, ,12635,"Unit 3(I),Main Office Tower,Financial Park Labuan, Jalan Merdeka,87000Labuan,F.T. Labuan,Malaysia", ,,그 외 기타 분류 안된 사업지원 서비스업,1999-07-12,12월
"PKG Group, LLC","PKG Group, LLC","PKGGroup,LLC", ,Shawn Sedaghat,기타법인, ,19874,"1875 Century Park E, Suite 2240, Los Angeles, CA 90067, U.S.A.", ,,포장 및 충전업,2001-11-12,12월
"SECOM CO., LTD.","SECOM CO., LTD.","SECOMCO.,LTD.", ,Shohei Kimura,기타법인, ,0110-01-035920,"5-1, Jingumae 1-chome, Shibuya-ku, Tokyo 150-0001, Japan", ,,경비 및 경호 서비스업,1962-07-07,03월
(주)가가이엔지,"GAGA ENG CO.,LTD",가가이엔지, ,"김호협, 장광회",기타법인,180111-0648618,617-81-74084,부산광역시 부산진구 새싹로210번길 6-16 (초읍동), ,,사업시설 유지ㆍ관리 서비스업,2008-10-07,12월
(주)가겐투안,"GARGANTUAN CO.,LTD.",가겐투안, ,정완수,기타법인,110111-2558273,101-81-84113,"서울특별시 종로구 종로1길 42 (수송동, 이마빌딩) 407호",www.gargantuan.co.kr,,인력 공급업,2002-07-01,12월
(주)가나티엠,kanatm,가나티엠, ,김상현,기타법인,134811-0047838,124-81-69982,"경기도 오산시 법원로 26 (청학동, 강남프라자), 4층",www.kanatm.co.kr,,사업지원 서비스업,2000-02-21,12월
(주)가우연,GAWYEON,가우연, ,한필석,기타법인,110111-2706103,211-87-27745,인천광역시 남동구 논현동 58-3 3층, ,,그 외 기타 분류 안된 사업지원 서비스업,2003-03-04,12월
가은글로벌 주식회사,"GAEUN GLOBAL Co.,Ltd",가은글로벌, ,기영욱,기타법인,121111-0243534,130-86-76125,"경기도 부천시 심곡로10번길 63 별관3층 (송내동, 휴앤유재활병원)", ,,그 외 기타 분류 안된 사업지원 서비스업,2012-12-03,12월
(주)가자제주렌트카,gajajejurentcar,가자제주렌트카, ,김봉감,기타법인,220111-0039321,616-81-40145,제주특별자치도 제주시 월성로4길 76-2 (용담이동), ,,자동차 임대업,2002-07-10,12월
