회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
2030청년주택(주),"2030youth co., ltd",2030청년주택, ,오근우,기타법인,110111-7373387,199-88-01364,서울특별시 마포구 독막로 10 (합정동) 603호, ,,아파트 건설업,2020-02-05,12월
(주) 21세기종합건설,"Newworld Construction Industrial Co.,Ltd ",21세기종합건설, ,고우영,기타법인,180111-0372994,605-81-47449,"부산광역시 수영구 수영로 754 (민락동, 센텀비스타동원)", ,,토목 건설업,2001-08-10,12월
씨앤티85(주),CNT85 Inc.,CNT85,056730,이기주,코스닥시장,110111-1347940,120-81-68259,"경기도 안양시 동안구 벌말로 126 10층 1004-2호 (관양동, 평촌오비즈타워)",www.cnt85.com  ,,건물 건설업,1996-12-02,12월
디엘이앤씨 주식회사,"DL E&C CO.,LTD.",DL이앤씨,375500,박상신,유가증권시장,110111-7736808,676-87-01904,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",www.dlenc.co.kr,,토목 건설업,2021-01-04,12월
EG건설 주식회사,"EG Construction Co.,Ltd",EG건설, ,김용상,기타법인,200111-0084255,410-81-44295,광주광역시 남구 서오층석탑1길 7-1 (서동),www.sweetvalley.co.kr,,아파트 건설업,1998-03-05,12월
GH건설(주),GH,GH건설, ,박현옥,기타법인,131111-0275121,129-86-56717,"경기도 성남시 수정구 성남대로 1244 (태평동, 인티움) 1412호", ,,종합 건설업,2011-02-15,12월
지에스건설(주),GS Engineering & Construction Corp,GS건설,006360,"허창수, 허윤홍(각자 대표이사)",유가증권시장,110111-0002694,104-81-18121,서울특별시 종로구 종로 33 그랑서울,www.gsenc.com,https://www.gsenc.com/IR/Data/Schedule.aspx,주거용 건물 건설업,1969-12-19,12월
GS네오텍 주식회사,GS Neotek,GS네오텍, ,남기정,기타법인,110111-0166953,113-81-07384,서울특별시 구로구 경인로 576 (구로동),www.gsneotek.co.kr,,전문직별 공사업,1974-07-02,12월
(주)G건설,G,G건설, ,정관오,기타법인,124611-0258720,122-81-67576,"인천광역시 부평구 부흥로 351 405호 (부평동,부일프라자)", ,,단독 주택 건설업,2001-07-26,12월
에이치디씨랩스(주),"HDC LABS Co., Ltd.",HDC랩스,039570,김성은,유가증권시장,110111-1775365,120-81-93646,서울특별시 서초구 효령로 346 서초 HDC랩스 타워,www.hdc-labs.com/,www.hdc-labs.com,전기 및 통신 공사업,1999-09-17,12월
에이치디씨현대산업개발(주),HYUNDAI DEVELOPMENT COMPANY,HDC현대산업개발,294870,"정경구, 조태제(각자 대표이사)",유가증권시장,110111-6740008,334-86-00815,서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층,www.hdc-dvp.com,,건물 건설업,2018-05-02,12월
(주)에이치제이중공업,"HJ SHIPBUILDING & CONSTRUCTION CO.,LTD",HJ중공업,097230,"김완석, 유상철",유가증권시장,180111-0602507,602-81-42993,부산광역시 영도구  태종로 233 한진중공업,www.hjsc.co.kr,,도로 건설업,2007-08-03,12월
에이치엘디앤아이한라(주),HL D&I HALLA CORPORATION,HL D&I,014790,홍석화,유가증권시장,110111-0274699,215-81-40656,서울특별시 송파구 올림픽로 289,www.halla.co.kr,,도로 건설업,1980-05-02,12월
에이치에스화성(주),"HS HWASUNG CO., LTD.",HS화성,002460,"이종원, 임기영",유가증권시장,170111-0001131,501-81-00050,대구광역시 수성구  동대구로 111,www.hwasung.com,,아파트 건설업,1958-09-01,12월
(주)케이씨씨건설,"KCC ENGINEERING & CONSTRUCTION CO., LTD.",KCC건설,021320,"정몽열, 심광주",코스닥시장,110111-0607618,214-81-69965,서울특별시 서초구  강남대로 587 KCC 건설,www.kccworld.net,,아파트 건설업,1989-01-27,12월
KD(주),KD Corporation,KD,044180,안태일,코스닥시장,120111-0012914,139-81-04128,경기도 성남시 수정구 위례광장로 19 (창곡동562) 아이페리온 707호,kdcon.co.kr,,건물 건설업,1974-08-06,12월
KG이앤씨 주식회사,"KG E&C CO.,LTD.",KG이앤씨, ,윤병석,기타법인,154511-0089030,472-88-01600,충청북도 음성군 삼성면 대금로 709 케이지이앤씨(주),www.kg-enc.co.kr,,전문직별 공사업,2020-04-07,12월
주식회사 KL산업,"KL industry Co.,Ltd.",KL산업, ,김진성,기타법인,110111-8053186,722-86-02397,"서울특별시 서초구 서초대로 320 (서초동, 케이타워서초) 4층", ,,아파트 건설업,2021-10-13,12월
KSS산업개발(주),"KSS Industry Development Co., Ltd",KSS산업개발, ,박인식,기타법인,194211-0060608,609-81-58064,전라남도 광양시 중동 1773-10, ,,아파트 건설업,2003-04-01,12월
KS건설(주),KS,KS건설, ,권선안,기타법인,111511-0026653,127-81-28317,경기도 양주군 회천읍 덕계리 448-4, ,,기타 토목시설물 건설업,1998-11-01,12월
(주)LF개발,LF Development Corp.,LF개발, ,김유일,기타법인,110111-3219981,107-86-63917,서울특별시 강남구 신사동 614-2 본경빌딩, ,,조경 건설업,2005-07-01,12월
주식회사 LF디앤엘,LF D&L Corp.,LF디앤엘, ,이덕우,기타법인,110111-8354740,387-88-02602,서울특별시 강남구 도산대로37길 5 2층(신사동), ,,시설물 유지관리 공사업,2022-07-01,12월
엘에스마린솔루션 주식회사,"LS Marine Solution Co., Ltd.",LS마린솔루션,060370,"구본규, 김병옥(각자대표)",코스닥시장,180111-0181428,618-81-18519,부산광역시 동구 중앙대로 184 16층,lsmarinesolution.co.kr,,전기 및 통신 공사업,1995-04-17,12월
LS사우타(주),"LS-Sauter Co., Ltd.",LS사우타, ,박우범,기타법인,110111-1424938,211-86-22480,"경기도 안양시 동안구 엘에스로 127 (호계동, LS타워) 4층",lssauter.co.kr,,전기 및 통신 공사업,1997-06-11,12월
에스지씨이앤씨(주),"SGC E&C Co., Ltd.",SGC E&C,016250,"이우성, 이창모 (각자대표이사)",코스닥시장,110111-0327555,214-81-89369,서울특별시 서초구 양재대로 246(염곡동),www.sgcetec.co.kr,,비주거용 건물 건설업,1982-09-14,12월
SHK디벨로프먼트(주),"S.H.K Developement Co.,Ltd.",SHK디벨로프먼트, ,오동을,기타법인,110111-2218281,110-81-50897,서울특별시 영등포구 여의도동 라이프오피스텔빌딩 908호, ,,아파트 건설업,2001-04-17,12월
주식회사 SH신한,"SHIN HAN CO., LTD.",SH신한, ,김석만,기타법인,230111-0185677,620-81-41819,울산광역시 중구 함월8길 10 (성안동), ,,종합 건설업,2011-11-02,12월
(주)SID 엔터프라이즈,"SID ENTERPRISE CO.,LTD",SID엔터프라이즈, ,황희문,기타법인,110111-2313528,214-86-89345,서울특별시 서초구 서초동 1532-7 서울빌딩 510호,-,,아파트 건설업,2001-09-01,12월
SJ개발(주),SJ Development corporation,SJ개발, ,김갑수,기타법인,116511-0035716,132-81-46393,경기도 구리시 수택동 873-5 금호빌딩 303, ,,주거용 건물 건설업,2002-08-17,12월
SK이터닉스(주),"SK eternix Co., Ltd.",SK이터닉스,475150,김해중,유가증권시장,131111-0729441,240-81-03211,경기도 성남시 분당구 판교로 332,www.sketernix.com,https://www.sketernix.com/invest/disclosure.do,건물 건설업,2024-03-04,12월
SPP건설 (주),"SPP Construction Co., Ltd",SPP건설, ,심종화,기타법인,195411-0013264,613-81-42601,경상남도 사천시 사남면 초전리 1988, ,,기타 토목시설물 건설업,2006-12-14,12월
SPP로직스주식회사,SPP Logix,SPP로직스, ,피용진,기타법인,195411-0013818,613-81-43731,경상남도 사천시 사천읍 사주리 72-4, ,,건설장비 운영업,2007-03-27,12월
STX건설 (주),"STX Engineering & Construction Co., Ltd.",STX건설, ,김제욱,기타법인,194111-0009939,609-81-66870,경상남도 김해시 생림면 나전로 276 타동(에스엠인더스트리 지엠비사업부),www.stxconst.co.kr,,비주거용 건물 건설업,2005-02-01,12월
STX 산업플랜트(주),"STX Industrial Plant Co., Ltd",STX산업플랜트, ,이강식,기타법인,110111-3875353,104-86-13835,서울특별시 중구 남대문로5가 서울시티타워빌딩 16층, ,,산업생산시설 종합건설업,2008-04-01,12월
(주)TS건설,TS Engineering & Construction,TS건설, ,유건상,기타법인,110111-0269773,219-81-05587,서울특별시 송파구 신천동 7-23, ,,주거용 건물 건설업,1980-02-21,12월
WPM엔지니어링 주식회사,"WPM Engineering Co., Ltd",WPM엔지니어링, ,박우원,기타법인,164811-0072920,312-86-52292,"충청북도 보은군 보은읍 남부로 4505 (삼산리, 대형마트)", ,,비주거용 건물 건설업,2013-06-05,12월
(주)가경디앤씨,kakyungD&C.LTD,가경디앤씨, ,이영길,기타법인,200111-0118799,409-81-55282,서울특별시 서초구 강남대로6길 12 (양재동), ,,아파트 건설업,2000-07-05,12월
(주)가경종합건설,GAKYUNG,가경종합건설, ,서복실,기타법인,110111-4862838,117-81-80067,"서울특별시 양천구 목동서로 133 (목동,KGIT목동센타)", ,,종합 건설업,2012-05-07,12월
(주)가나공영,"GANA GONGYOUNG CO.,LTD",가나공영, ,곽영단,기타법인,230111-0228386,610-86-30697,울산광역시 울주군 서생면 용연길 48 (명산리) 190,www.ganaeng.co.kr,,시설물 유지관리 공사업,2014-09-29,12월
(주) 가나다산업 ,JUGANADA ,가나다산업, ,박성민,기타법인,110111-2274217,107-86-02337,서울특별시 영등포구 선유로54길 3 (양평동4가), ,,소방시설 공사업,2001-06-29,12월
가나종합건설(주),GANA CONSTRUCTION Co.Ltd,가나종합건설, ,조성곤,기타법인,121111-0073410,130-81-68635,"경기도 부천시 원미구 상동로 87 (상동, 가나베스트타운3) 11층", ,,아파트 건설업,2000-02-22,12월
주식회사 가나중기,Gana co. Ltd.,가나중기, ,정도혁,기타법인,205511-0028474,412-81-37825,"전라남도 나주시 영산포로 293-1 (삼영동, 브이스틸)", ,,건설장비 운영업,2009-10-19,12월
가나토건(주),GANA-COMPANY,가나토건, ,유기영,기타법인,110111-0618318,206-81-46772,인천광역시 부평구 청천동 395-1, ,,주거용 건물 건설업,1998-07-10,12월
주식회사 가나토건,GANA CONSTRUCTION,가나토건, ,정우성,기타법인,110111-1100736,102-81-36050,광주광역시 광산구 어등대로459번길 64,-,,전문직별 공사업,1995-01-01,12월
(주)가담종합건설,-,가담종합건설, ,김일근,기타법인,110111-3448332,120-87-01167,"서울특별시 송파구 송이로23길 10 (가락동, 무지개빌딩4층)",-,,주거용 건물 건설업,2006-04-27,12월
주식회사 가드빌,"GUARDBILL CO., LTD",가드빌, ,유한용,기타법인,210111-0052458,418-81-20356,전라북도 전주시 완산구 중화산동2가 622-4 2층, ,,주거용 건물 건설업,2006-07-26,12월
가람건설산업주식회사,"Garam  Construction  Co., Ltd",가람건설산업, ,남송근,기타법인,180111-0361559,605-81-44817,부산광역시 부산진구 전포동 170-1 한신하이텔 701호, ,,아파트 건설업,2001-05-20,12월
주식회사 가람건축,"Garam Architecture Co.,Ltd.",가람건축, ,차숙희,기타법인,110111-5338177,206-86-87045,"서울특별시 광진구 자양로 312 (구의동, 욱현빌딩) 5층", ,,단독 주택 건설업,2014-02-13,12월
(주)가람우즈,"Garam Woods Co.,Ltd.",가람우즈, ,김광필,기타법인,110111-1640279,215-81-75039,경기도 평택시 팽성읍 안정안길 47 (안정리), ,,아파트 건설업,1999-01-26,12월
