회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
CJ푸드빌주식회사,"CJ Foodville Co., Ltd.",CJ푸드빌, ,이건일,기타법인,161511-0036967,312-81-42519,"서울특별시 중구 마른내로 34 (초동, (주)케이티앤지을지로타워)",www.cjfoodville.co.kr,,서양식 음식점업,2000-06-07,12월
(주)KAL호텔네트워크,KAL HOTEL NETWORK,KAL호텔네트워크, ,데이빗페이시,기타법인,110111-2240169,109-81-71140,"인천광역시 중구 영종해안남로321번길 208 (운서동, 그랜드하얏트인천이스트타워)", ,,호텔업,2001-05-16,12월
STX리조트주식회사,STX Resort Corporation,STX리조트, ,이영민,기타법인,110111-3794644,104-86-11593,경상북도 문경시 농암면 청화로 509,www.stxresort.com,,휴양콘도 운영업,2007-11-27,12월
가람푸드써비스 주식회사,garamfoodservice,가람푸드써비스, ,남궁열,기타법인,110111-1754517,120-81-92481,"서울특별시 서초구 동산로 48 (양재동, 서희빌딩)201호", ,,기관 구내식당업,1999-08-20,12월
주식회사 가보개발,KABO HOTEL,가보개발, ,안연숙,기타법인,131311-0035670,125-81-36581,경기도 평택시 비전2동 845-1,www.hotelkabo.com,,호텔업,2001-02-27,12월
(주)가보관광산업,"KABO Tourist Industry co.,LTD.",가보관광산업, ,한호석,기타법인,131311-0107239,125-81-96051,경기도 평택시 비전동 845-1번지,www.hotelkabo.com,,호텔업,2011-05-20,12월
주식회사 가  야,"KAYA CO., LTD.",가야, ,김태경,기타법인,170111-0006727,501-81-01928,경상북도 김천시 대항면 향천리 327-1,없음,,호텔업,1976-02-11,12월
(주)가야호텔,"GAYA HOTEL CO.,LTD.",가야호텔, ,정규석,기타법인,175111-0011432,510-81-17759,경상북도 성주군 수륜면 가야산식물원길 52,www.gayahotel.kr/,,호텔업,2006-09-28,12월
주식회사 가온에프앤에스,Gaon F&S,가온에프앤에스, ,김주홍,기타법인,160111-0407464,610-88-00237,"대전광역시 유성구 계룡로 55 3층 302호(봉명동, 유성자이)",gaonfns.co.kr/,,기관 구내식당업,2015-09-08,12월
주식회사 가우플랜,"Gawoo Plan Co., Ltd.",가우플랜, ,안필호,기타법인,110111-1228992,214-86-36076,"서울특별시 서초구 강남대로107길 6 (잠원동, 더리버사이드호텔)",www.riversidehotel.co.kr,,숙박업,1999-08-01,12월
주식회사 가평빠지 캠프통포레스트수상레저,CAMPTONGFOREST,가평빠지캠프통포레스트수상레저, ,장기남,기타법인,284511-0024451,197-86-01291,경기도 가평군 설악면 자잠로 377,www.camptongforest.com,,기타 일반 및 생활 숙박시설 운영업,2018-10-18,12월
주식회사 갈릴리농원,"Galilee Farm co.,Ltd",갈릴리농원, ,유광열,기타법인,284911-0091668,141-81-22207,경기도 파주시 탄현면 방촌로 1196, ,,한식 해산물요리 전문점,2010-12-13,12월
(주)감성타코,GAMSUNG TACO Inc.,감성타코, ,박재윤,기타법인,110111-5706457,742-81-00103,서울특별시 강남구 강남대로162길 31 (신사동), ,,외국식 음식점업,2015-04-24,12월
주식회사 갓텐코리아,"gattenkorea co.,ltd",갓텐코리아, ,제성수,기타법인,110111-4400175,220-88-02823,경기도 하남시 산곡동로86번길 8-1 (하산곡동), ,,일식 음식점업,2010-07-28,12월
갓파크리에이트코리아주식회사,"KAPPA CREATE CO.,LTD.",갓파크리에이트코리아, ,YAMAKADO TSUYOSHI,기타법인,180111-0667759,607-81-88941,부산광역시 연제구 반송로 44 갓파크리에이트코리아 주식회사 3층,www.kappa-sushi.co.kr,,일식 음식점업,2009-04-13,12월
(주)강릉씨티호텔,Gangneung CityHotel,강릉씨티호텔, ,최유헌,기타법인,141111-0057353,792-86-01121,강원도 강릉시 교동광장로 112 (교동),www.gnchotel.com,,호텔업,2018-03-27,12월
주식회사 강원레져개발,KANGWON LEISURE DEVELOPMENT,강원레져개발, ,박윤배,기타법인,144911-0002713,225-81-12628,강원도 태백시 화전동 산47-71, ,,호텔업,2000-04-24,12월
강유 주식회사,"Kangyu Co.,Ltd.",강유, ,정군영,기타법인,110111-8447917,568-86-02721,강원특별자치도 양양군 서면 곰밭길 242-6 1층 (북평리), ,,기타 일반 및 생활 숙박시설 운영업,2022-10-20,12월
강화로얄관광호텔,kang hwa royal hotel,강화로얄관광호텔, ,이효일,기타법인,120111-0222068,137-81-48436,인천광역시 강화군 길상면 선두리 93-8, ,,호텔업,2000-05-16,12월
주식회사 갤러리,"Gallery Co.,Ltd.",갤러리, ,심지훈,기타법인,224111-0023015,616-86-08077,제주특별자치도 제주시 서해안로 100 (이호일동), ,,숙박업,2013-06-28,12월
주식회사 거성인베스트,"Gun Sung Invest Co., Ltd",거성인베스트, ,김복도,기타법인,180111-0367317,605-81-46829,부산광역시 부산진구 부전로 57 (부전동), ,,한식 육류요리 전문점,2001-08-07,12월
거제관광호텔한양주식회사,GEOJE TOURIST HOTEL,거제관광호텔한양, ,김석용,기타법인,194911-0007200,612-81-11196,경상남도 거제시 신현읍 고현리 33-30,www.geojehotel.com,,호텔업,2000-03-27,12월
거제돔관광호텔주식회사,geojedome hotel,거제돔관광호텔, ,신동룡,기타법인,161511-0176672,312-86-75505,경상남도 거제시 일운면 지세포해안로 105 거제대로 2372, ,,호텔업,2015-01-16,12월
(주)거촌,gerchon,거촌, ,김미숙,기타법인,110111-0300527,111-81-06851,"서울특별시 서대문구 신촌로 67 (창천동, 거촌빌딩)", ,,중식 음식점업,1981-08-01,12월
(주)건영식품,"Geonyeong Food co.,ltd",건영식품, ,김덕건,기타법인,160111-0277172,314-86-14085,"대전광역시 대덕구 신일동로93번길 14 (신일동, (주)건영식품)", ,,한식 일반 음식점업,2010-04-01,12월
주식회사 건우스토리,GUNWOO STORY,건우스토리, ,김영원,기타법인,200111-0639836,218-81-73796,서울특별시 관악구 양녕로1길 46 (봉천동) 1동 지하1층 에이치03호, ,,호텔업,2021-08-09,12월
경기제사공업(주),kyeonggirawsilk,경기제사공업, ,이종주,기타법인,115511-0000067,132-81-00193,경기도 가평군 청평면 잠곡로 69-16 (청평리), ,,한식 일반 음식점업,1954-01-01,12월
경성호텔(주),GSHOTEL,경성호텔, ,홍훈표,기타법인,180111-1421344,428-87-02420,부산광역시 부산진구 서면문화로 26 (부전동),-,,호텔업,2022-02-10,12월
경안개발 주식회사,"Kyungan development co., LTD.",경안개발, ,김맹수,기타법인,141211-0052252,224-81-48064,강원도 원주시 문막읍 궁촌리 1042, ,,휴양콘도 운영업,2010-06-17,12월
경안건업(주),Kyung an Construction. Co Ltd ,경안건업, ,변기태,기타법인,110111-0417603,211-86-38925,서울특별시 강남구 역삼동 705-7, ,,호텔업,1986-02-11,12월
(주)경원라이프,KYUNGWONLIFE,경원라이프, ,황보현,기타법인,110111-3579187,211-87-90549,서울특별시 강남구 논현동 165, ,,기숙사 및 고시원 운영업,2006-12-13,12월
주식회사 경주시티호텔,gyeong ju city hotel,경주시티호텔, ,정종배,기타법인,180111-1478270,433-86-03050,경상북도 경주시 북성로 127 (성동동), ,,호텔업,2022-12-02,12월
주식회사 경주조선호텔,Kyungju Chosun Hotel Corporation,경주조선호텔, ,김용일,기타법인,171211-0000411,505-81-00810,경상북도 경주시 신평동 410-2,www.chosun.com,,호텔업,1977-06-24,12월
주식회사 경주조선호텔,gyeongju chosun hotel,경주조선호텔, ,권혁진,기타법인,171211-0027225,505-81-30541,경상북도 경주시 신평동452-1번지,www.chosunspahotel.com,,호텔업,2001-09-04,01월
주식회사 계림원에프앤비,Kyelimwon F&B ,계림원에프앤비, ,신익재,기타법인,110111-4358118,201-86-16040,경기도 고양시 일산서구 고양대로662번길 5 (2층),www.kyelimwon.com,,한식 음식점업,2010-05-01,12월
주식회사 고기한마당,dae wangjangeo,고기한마당, ,장석운,기타법인,180111-1009885,456-81-00240,부산광역시 연제구 반송로 43 (연산동),jsdreamfood@gmail.com,,한식 일반 음식점업,2015-12-24,12월
유한회사 고려,THE KORYO HOTEL,고려, ,임명수,기타법인,121114-0005037,124-81-55741,"경기도 부천시 원미구 길주로 66 (상동, 고려호텔)",www.hotelkoryo.net/,,호텔업,1998-04-14,12월
고려개발 주식회사,"KOREA DEVELOPEMENT CO., LTD",고려개발, ,박호성,기타법인,195511-0095377,615-81-53818,"경상남도 김해시 김해대로 2342 C702 (부원동,아이스퀘어몰)", ,,호텔업,2007-02-16,12월
주식회사 고려흑연,"KOREA GRAPHITE CORP,.",고려흑연, ,임기현,기타법인,194311-0034651,608-81-98044,경상남도 창원시 성산구 성주로97번길 28 (남산동), ,,기타 일반 및 생활 숙박시설 운영업,2013-05-01,12월
고메드갤러리아 주식회사,"Gourmet de Galleria Co., Ltd",고메드갤러리아, ,차기팔,기타법인,110111-0934694,750-87-03495,"서울특별시 강남구 역삼로 115 (역삼동, 아워홈역삼빌딩)", ,,기관 구내식당업,2025-08-18,12월
주식회사 고베하우스,KOBE HOUSE,고베하우스, ,박미진,기타법인,134111-0414487,705-88-00141,경기도 안양시 동안구 관평로176번길 10 (관양동),kobehouse.modoo.at,,일식 음식점업,2015-06-22,12월
(주)고센인코퍼레이티드,goshenincorporated,고센인코퍼레이티드, ,윤태경,기타법인,110111-0986145,120-81-33347,서울특별시 강남구 선릉로158길 18 (청담동),www.i-goshen.com,,서양식 음식점업,2000-06-01,12월
주식회사 고품질,"Gopoomjil Co.,Ltd",고품질, ,임정식,기타법인,110111-6589365,224-88-00754,서울특별시 강남구 선릉로158길 11 (청담동),www.jungsik.kr,,한식 일반 음식점업,2017-12-06,12월
(주)골드마인홀딩스,goldmine holdings,골드마인홀딩스, ,김문수,기타법인,110111-1430133,112-81-48140,서울특별시 서초구 서초동1601-7, ,,일반 및 생활 숙박시설 운영업,1997-06-23,12월
주식회사골드문인터내셔날,Gold Internation Inc.,골드문인터내셔날, ,한창일,기타법인,195111-0022089,205-81-41871,경상남도 창녕군 부곡면 온천로 634-13 (사창리) 크라운호텔,www.crown-hotel.co.kr,,호텔업,2016-03-30,12월
주식회사 골든,"golden,ltd",골든, ,김옥선,기타법인,180111-1316008,729-87-01794,"부산광역시 수영구 광안해변로278번길 42 8층 에이801호 (민락동, 오션브릿지)", ,,호텔업,2020-09-16,12월
주식회사 골든스페이스,GOLDEN SPACE,골든스페이스, ,유규상,기타법인,110111-4630087,204-86-28486,"서울특별시 강서구 마곡중앙6로 89 (마곡동, 뉴골든타워) 9~11층", ,,호텔업,2011-06-22,12월
주식회사 곰바우,GOM BA WIE,곰바우, ,이민섭,기타법인,110111-1415474,120-86-39138,서울특별시 강남구 영동대로115길 10 (삼성동) 곰바위 빌딩,www.gbw.co.kr,,한식 육류요리 전문점,1997-05-19,12월
주식회사 공간7,N.A (Not Available),공간7, ,김서은,기타법인,220111-0140748,520-88-00220,"제주특별자치도 제주시 구좌읍 번영로 2133-50 (송당리), 에이5동", ,,기타 일반 및 생활 숙박시설 운영업,2016-01-29,12월
(주)공차코리아 ,"GongCha Korea Co.,Ltd",공차코리아, ,"박재홍, 조준흠",기타법인,110111-4694918,214-88-84534,"서울특별시 종로구 종로 47 (공평동, 한국스탠다드차타드은행빌딩) 7층", ,,비알코올 음료점업,2011-09-27,12월
공항건설 주식회사,Gong Hang Construction,공항건설, ,이청윤,기타법인,110111-5293339,109-86-45157,서울특별시 강서구 방화대로40길 36 (방화동), ,,호텔업,2013-12-17,12월
(주)관광호텔 바빌론,-,관광호텔바빌론, ,김양수,기타법인,110111-3713561,114-86-60539,서울특별시 서초구 잠원동 18-5,-,,호텔업,2007-07-01,12월
