회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(사)한국자유총연맹,Korea Freedom Federation,(사)한국자유총연맹, ,박창달,기타법인,110121-0023186,203-82-31506,"서울특별시 중구 장충단로 72 (장충동2가, 한국자유총연맹)",www.koreaff.or.kr,,부동산 임대업,1989-04-01,12월
(학)벽산학원,Pyuksan School Foundation,(학)벽산학원, ,강제호,기타법인,174631-0004220,506-82-02778,경상북도 포항시 북구 소티재로 107 (우현동),-,,부동산 임대업,1989-03-07,12월
(학)운산학원,WOONSAN FOUNDATION,(학)운산학원, ,정영화,기타법인,161331-0000047,308-82-01291,"충청남도 논산시 시민로 197 (강산동, 논산여상)", ,,부동산 임대업,1979-05-02,02월
21세기컨설팅주식회사,"21CENTURY CONSULTING CO .,Ltd.",21세기컨설팅, ,양화석,기타법인,110111-0701743,213-81-54867,서울특별시 강남구 개포동 186-18,www.webrealty21.co.kr,,"부동산 중개, 자문 및 감정평가업",1990-05-29,12월
21세기프로젝트매니지먼트(주),"21Century Project Management Co.,Ltd",21세기프로젝트매니지먼트, ,양화석,기타법인,141111-0011664,226-81-21436,강원도 강릉시 포남동 1107-8, ,,"부동산 중개, 자문 및 감정평가업",1998-04-02,12월
(주)37타워더퍼스트,37 TOWER THE FIRST,37타워더퍼스트, ,노의환,기타법인,110111-8155255,795-86-02395,"부산광역시 해운대구 센텀동로 49 1층(우동, 아이피파빌리온)", ,,비주거용 건물 개발 및 공급업,2022-01-06,12월
413에벤에셀 유한회사,413 Ebenezer,413에벤에셀, ,김경남,기타법인,110114-0253457,523-81-01699,"서울특별시 구로구 디지털로26길 111 (구로동, 제이앤케이디지털타워),  1107호", ,,부동산업,2020-01-06,12월
4바이4 유한책임회사,4 by 4 Ltd.,4바이4, ,Cho Daniel Sung Kwan,기타법인,284115-0000261,572-87-02353,경기도 남양주시 별내중앙로 30 (별내동) 305-593, ,,부동산 투자자문업,2021-06-11,12월
516에벤에셀 주식회사,"516 Ebenezer Co., Ltd.",516에벤에셀, ,"김경남, 이대훈",기타법인,110111-7938503,845-87-01927,"서울특별시 구로구 디지털로26길 111 (구로동, 제이앤케이디지털타워)  1107호", ,,주거용 건물 개발 및 공급업,2021-06-28,12월
주식회사 5앤2, 5&2 Inc,5앤2, ,이수현,기타법인,110111-1527766,214-86-24866,서울특별시 성북구 선잠로 68-13 (성북동), ,,비주거용 건물 임대업,1998-03-26,12월
(주)88스테이,88stay,88스테이, ,정환,기타법인,144411-0008133,227-81-20541,강원도 속초시 설악산로 832 (설악동), ,,주거용 부동산 관리업,2013-10-18,12월
Avonla Korea I Holdings S.A.R.L,Avonla Korea I Holdings (Luxembourg) S.A.R.L,AvonlaKoreaIHoldingsS.A.R.L, ,Peter Everson,기타법인, ,17906,"73, Cote d'Eich, L-1450 Luxemburg", ,,기타 부동산 임대업,2002-12-02,12월
"CHOISANGHO, CORP.","CHOISANGHO, CORP.","CHOISANGHO,CORP.", ,CHOI SANG HO,기타법인, ,98450057D82E679B2F15,4061 PACIFIC AVE SE LACEY WA 98503-1110, ,,부동산 투자자문업,2003-07-17,12월
D&K유인개발주식회사,"D&K Yuin Development Co.,Ltd.",D&K유인개발, ,이한옥,기타법인,110111-1820368,114-81-93016,서울특별시 은평구 역촌동 63-1 3층, ,,부동산업,1999-12-02,12월
D.H.S주식회사,D.H.S,D.H.S, ,이연호,기타법인,150111-0030225,315-81-31156,"충청북도 청주시 흥덕구 2순환로 1256 (강서동, 강서밀레니엄타워) 7층", ,,부동산 임대 및 공급업,1997-07-31,12월
(주)DS Global,DS Global,DSGlobal, ,LIM HYUN SOOK,기타법인,134511-0453031,726-88-01720,"경기도 용인시 기흥구 중부대로 184 B동 2108호(영덕동, 힉스유타워)", ,,부동산업,2020-04-24,12월
이에스알켄달스퀘어위탁관리부동산투자회사주식회사,"ESR Kendall Square REIT Co., Ltd.",ESR켄달스퀘어리츠,365550,조주현,유가증권시장,110111-7398989,382-81-01986,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층",www.esrks-reit.com,http://www.esrks-reit.com/ ,부동산 임대 및 공급업,2020-02-20,05월
주식회사 EV 토지개발,EVLANDCO,EV토지개발, ,지재윤,기타법인,200111-0485833,168-87-00646,광주광역시 남구 효천2로가길 9 (임암동)6층 601호, ,,비주거용 건물 임대업,2017-02-09,12월
(주)GH건설,GH CONSTRUCTION,GH건설, ,최선옥,기타법인,120111-1139973,609-86-27076,"인천광역시 서구 청라커낼로260번길 11 701-1호(청라동, 진성프라자)", ,,비주거용 건물 개발 및 공급업,2021-03-30,12월
주식회사Good개발,"Good Development Co., Ltd.",Good개발, ,박동진,기타법인,234111-0070288,621-86-02527,경상남도 김해시 번화1로76번길 15 시티스퀘어빌딩 702호 (대청동), ,,비주거용 건물 개발 및 공급업,2013-05-02,12월
주식회사Good프라임,Goodprime,Good프라임, ,박동진,기타법인,195511-0235452,547-81-01375,경상남도 김해시 번화1로76번길 15 7층 702호 (대청동), ,,비주거용 건물 개발 및 공급업,2019-08-16,12월
(주)Good프라임City,GoodPrimeCity,Good프라임City, ,박동진,기타법인,195511-0239397,838-86-01655,경상남도 김해시 번화1로76번길 15 701호(대청동), ,,비주거용 건물 개발 및 공급업,2019-12-11,12월
주식회사IBM건설,ANSANGEEUP.CO.LTD,IBM건설, ,장인덕,기타법인,130111-0009183,134-81-00355,경기도 안산시 단원구 고잔동 542-1, ,,비주거용 건물 임대업,1989-05-15,12월
(주)케이비스타위탁관리부동산투자회사,"KB STAR REIT Co., Ltd.",KB스타리츠,432320,신명재,유가증권시장,110111-8191613,380-81-02408,"서울특별시 영등포구 국제금융로 10, 41층",www.kbstarreit.com,www.kbstarreit.com,비주거용 건물 임대업,2022-02-08,01월
KFD도시개발(주),"Korea first development co.,ltd",KFD도시개발, ,한성근,기타법인,110111-2287343,214-87-30555,서울특별시 강남구 대치동 1008-2 시화빌딩 6층, ,,주거용 건물 개발 및 공급업,2003-03-30,12월
KPX개발(주),"KPX DEVELOPMENT CO.,LTD.",KPX개발, ,양준영,기타법인,131111-0121910,129-81-75738,"서울특별시 마포구 마포대로 137 (공덕동, KPX빌딩)", ,,비주거용 건물 임대업,2004-08-06,12월
KS도시개발주식회사,KS doslgaebal,KS도시개발, ,한국남,기타법인,110111-5186899,109-86-42373,"서울특별시 강서구 화곡로 142 (화곡동, 화곡역케이에스프리미어)", ,,부동산업,2013-07-24,12월
(주)LF스퀘어씨사이드,LF SQUARE SEASIDE ,LF스퀘어씨사이드, ,김유일,기타법인,144511-0011431,495-88-00792,"강원특별자치도 양양군 양양읍 한고개길 17-19 (내곡리, 리건빌딩) 2층 204호", ,,비주거용 건물 임대업,2024-02-15,12월
(주)NHF5호공공임대개발전문위탁관리부동산투자회사,"NHF5 Development REIT Co., Ltd.",NHF5호공공임대개발전문위탁관리부동산투자회사, ,장은재,기타법인,131111-0414670,659-88-00168,"경기도 성남시 분당구 성남대로54번길 3 (구미동, 한국토지주택공사)", ,,주거용 건물 임대업,2015-09-01,12월
(주)NHF6호공공임대개발전문위탁관리부동산투자회사,"NHF6 Development REIT Co.,Ltd.",NHF6호공공임대개발전문위탁관리부동산투자회사, ,이동주,기타법인,131111-0414646,158-86-00109,"경기도 성남시 분당구 성남대로54번길 3 (구미동, 한국토지주택공사)", ,,주거용 건물 임대업,2015-09-01,12월
(주)NHF7호공공임대위탁관리부동산투자회사,"NHF7 REIT Co.,Ltd.",NHF7호공공임대위탁관리부동산투자회사, ,박보훈,기타법인,131111-0424083,138-86-02156,"경기도 성남시 분당구 성남대로54번길 3 (구미동, 한국토지주택공사)", ,,주거용 건물 임대업,2015-09-23,12월
(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,"NHF1 Development REIT Co., Ltd.",NHF제1호공공임대개발전문위탁관리부동산투자회사, ,김대익,기타법인,131111-0379957,144-81-27569,"경기도 성남시 분당구 성남대로54번길 3 (구미동, 한국토지주택공사)", ,,비주거용 건물 임대업,2014-06-30,12월
(주)NHF제2호공공임대위탁관리부동산투자회사,"NHF2 Development REIT Co., Ltd.",NHF제2호공공임대위탁관리부동산투자회사, ,김대익,기타법인,131111-0379949,144-81-27574,"경기도 성남시 분당구 성남대로54번길 3 (구미동, 한국토지주택공사)", ,,비주거용 건물 임대업,2014-06-30,12월
(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,NHF제3호공공임대개발전문위탁관리부동산투자회사, ,김대익,기타법인,131111-0389229,144-81-31063,"경기도 성남시 분당구 성남대로54번길 3 (구미동, 한국토지주택공사)", ,,주거용 건물 개발 및 공급업,2014-10-10,12월
㈜엔에이치올원위탁관리부동산투자회사,"NH All-One REIT Co., Ltd.",NH올원리츠,400760,소선호,유가증권시장,110111-7299294,606-87-01550,서울특별시 영등포구 국제금융로8길 2 농협재단빌딩 5층,nhallonereit.com/,,부동산 개발 및 공급업,2019-11-20,12월
주식회사 엔에이치프라임위탁관리부동산투자회사,"NH Prime REIT Co., Ltd.",NH프라임리츠,338100,조영재,유가증권시장,110111-7123732,686-86-01336,"서울특별시 영등포구 국제금융로8길  2 5층(여의도동, 농협재단빌딩)",www.nhreits.com,nhprimereit.com,부동산 임대 및 공급업,2019-05-30,11월
NMW컨설팅,NMW consulting,NMW컨설팅, ,장혁진,기타법인,134811-0706202,861-81-02528,"경기도 화성시 영통로 59 (반월동, 현대프라자) 4층 407-에이56호", ,,부동산업,2022-09-02,12월
(주)OH건설,OH,OH건설, ,최선옥,기타법인,120111-1221241,766-81-02539,"인천광역시 서구 청라커낼로260번길 11 701-2호(청라동, 진성프라자)", ,,주거용 건물 개발 및 공급업,2022-03-21,12월
"REALTY ADVISORS, INC.","REALTY ADVISORS, INC.","REALTYADVISORS,INC.", ,LOUIS J CORNA,기타법인,C40291990    ,100-10-41364,1800 VALLEY VIEW DALLAS TEXAS 75234 USA, ,,비주거용 건물 임대업,1990-05-04,06월
