회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(학)배달학원,Baedal University Corporation,(학)배달학원, ,심상덕,기타법인,114631-0006351,120-82-01686,"강원도 원주시 흥업면 한라대길 28 (흥업리, 한라대학교)",www.halla.ac.kr,,대학교,1994-11-17,02월
(학)북일학원,bugil educational foundation,(학)북일학원, ,이경재,기타법인,161531-0000093,312-82-00379,"충청남도 천안시 동남구 단대로 69 (신부동, 북일고등학교)", ,,일반 고등학교,1975-06-13,02월
(주)MBC아카데미,MBCACADEMY,MBC아카데미, ,이주갑,기타법인,110111-0404452,219-81-04458,서울특별시 송파구 잠실동 198,www.mbcac.com,,기타 기술 및 직업훈련학원,1985-08-01,12월
University of East Anglia,University of East Anglia,UniversityofEastAnglia, ,David Maguire,기타법인, ,2138004BW32PWZ5C7X64,"Norwich Research Park, Earlham Road, NR4 7TJ, Norwich, GB-NFK",www.uea.ac.uk/,,대학교,1963-09-29,12월
(주)와이비엠넷,"YBM NET, Inc.",YBM넷,057030,김종익,코스닥시장,110111-1990335,220-81-89608,서울특별시 종로구 종로 98 지상 4층~9층,www.ybmsisa.com,,교육지원 서비스업,2000-06-07,12월
가톨릭대학교산학협력단,catholic university of korea,가톨릭대학교산학협력단, ,김상호,기타법인,110271-0011126,114-82-07929,서울특별시 서초구 반포동505 성의교정내,http://mail.catholic.ac.kr,,대학교,2004-04-01,12월
주식회사강남대성기숙학원,KNDSKS,강남대성기숙학원, ,김인규,기타법인,134411-0045707,126-86-34621,경기도 이천시 마장면 서이천로337번길 55,campus.kangnamds.co.kr,,일반 교과 학원,2010-09-14,12월
강남대성학원(주),"KANGNAM.DAESUNG Academy.CO.,",강남대성학원, ,김인규,기타법인,110111-1407968,214-86-15862,"서울특별시 강남구 테헤란로4길 39 (역삼동, 강남대성빌딩)", ,,일반 교과 학원,1997-04-25,12월
강대마이맥 주식회사,"kangdaemimac,co",강대마이맥, ,김대연,기타법인,110111-7298197,296-88-01461,"서울특별시 강남구 도곡로 505 6층 (대치동,태성빌딩)", ,,일반 교과 학원,2019-11-20,12월
(주)강안교육,KANGAN EDUCATION,강안교육, ,"강승희, 현세훈",기타법인,110111-6248549,848-81-00755,서울특별시 강남구 영동대로85길 20-9 (대치동),https://www.kanganedu.net/,,일반 교과 학원,2017-01-04,12월
경기대학교 산학협력단,Kyonggi University Industry & Academia Cooperation Foundation,경기대학교산학협력단, ,김인철,기타법인,135871-0005863,135-82-10872,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) 산학협력단 202호",sanhak.kyonggi.ac.kr/,,교육 서비스업,2004-04-02,02월
주식회사 경기전기교육원,Gyeonggi electricity vocational education,경기전기교육원, ,김만회,기타법인,170111-0284175,659-81-00460,경기도 여주시 세종로 317,g7.or.kr,,기타 기술 및 직업훈련학원,2005-03-28,12월
(주)경찰단기김폴카,Policedangi KimPolka,경찰단기김폴카, ,"김효정, 이유",기타법인,110111-6603248,521-81-00995,"서울특별시 동작구 장승배기로30길 6-1 (노량진동, 제이와이빌딩) 7,8,9층",police.criminallaw100.com/,,기타 교습학원,2018-01-01,12월
계원조형예술대학,Kaywon school of art and design,계원조형예술대학, ,강영진,기타법인,134131-0000119,138-82-00859,경기도 의왕시 내손동 산 125, ,,전문대학,1992-12-11,12월
고려이앤씨,coryoenc,고려이앤씨, ,문상주,기타법인,110111-2904799,108-81-63593,서울특별시 용산구 갈월동 101-49 . 고려에이트리움 4층,www.vitaedu.com,,온라인 교육 학원,2003-11-27,12월
골든서퍼 주식회사,GOLDEN SURFER,골든서퍼, ,임지혁,기타법인,110111-6646420,129-88-00842,"서울특별시 종로구 종로5길 7 16층 (청진동, Tower8)", ,,교육관련 자문 및 평가업,2018-01-31,12월
