회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
SK임업주식회사,SK Forest Co. Ltd.,SK임업, ,성백진,기타법인,130111-0005967,124-81-01100,경기도 화성시 정남면 음양리 572-1,http://www.skforest.co.kr,,임업용 종묘 생산업,1972-10-26,12월
(주)강성수산,KANG SUNG FRESH CO. LTD.,강성수산, ,남문성,기타법인,180111-0146498,603-81-19990,부산광역시 서구 남부민동 523-29(희창물산별관 203호), ,,어업 관련 서비스업,1993-09-21,12월
거목농산(주),"Gumoknongsan Co.,Ltd.",거목농산, ,이정규,기타법인,141111-0028198,226-81-34950,강원도 강릉시 왕산면 안반덕길 435, ,,작물 재배업,2006-02-02,12월
경양수산(주),Kyungyang  Fisheries  Co. Ltd. ,경양수산, ,고완수,기타법인,180111-0561521,603-81-62804,부산광역시 서구 암남동 620-29 원양프라자 507호, ,,원양 어업,2006-07-11,12월
경진수산 주식회사,"GYEONG JIN FISHERIES CO., LTD.",경진수산, ,최영제,기타법인,180111-0246181,603-81-33726,부산광역시 서구 충무대로 184 (남부민동), ,,연근해 어업,1997-11-24,12월
(주)경태,"KYUNGA TAE CO.,LTD",경태, ,최우순,기타법인,180111-0506999,603-81-58426,부산광역시 사하구 신평동 554번지, ,,어로 어업,2005-04-01,12월
(주)경해,K.H.LTD,경해, ,박정호,기타법인,180111-0720664,602-81-52453,부산광역시 서구 자갈치로 5 (충무동1가),-,,연근해 어업,2010-06-28,12월
주식회사 계영,"Kye Young Co., Ltd",계영, ,고도욱,기타법인,164911-0016421,311-81-35941,충청남도 예산군 대술면 장복리 340-84, ,,양계업,2010-10-06,12월
고고수산(주),"GOGO FISHERIES CO.,LTD",고고수산, ,이동선,기타법인,180111-0715178,602-81-51963,"부산광역시 서구 암남동 595 송도풍림아이원 301동 102,104호", ,,원양 어업,2010-05-14,12월
(주)고려씨푸드,korea,고려씨푸드, ,박장철,기타법인,110111-8158077,459-86-02510,"대전광역시 유성구 왕가봉로24번길 15 (노은동, 노은시티빌)", ,,해수면 양식 어업,2022-01-07,12월
관광모노레일 주식회사,TourMonorail Corporation,관광모노레일, ,이학우,기타법인,206211-0058541,885-87-00310,"서울특별시 서초구 효령로53길 45 (서초동, 서초이오빌) 201-100", ,,어업,2019-07-22,12월
광해산업주식회사,"KWANGHAE INDUSTRIAL CO., LTD.",광해산업, ,김용오,기타법인,180111-0060812,604-81-08351,부산광역시 동구 초량동 1211-1, ,,원양 어업,1984-05-18,12월
그랜드수산주식회사,"GRAND FISHERY CO., LTD. ",그랜드수산, ,김영범,기타법인,180111-0495803,602-81-34310,부산광역시 중구 중앙동4가 동방빌딩 10층 , ,,원양 어업,2004-09-14,12월
주식회사 그린비티에스,GreenBTS Inc.,그린비티에스, ,"공동대표이사 정평영, 권영완",기타법인,110111-7988483,555-81-02190,"서울특별시 강서구 양천로 424 (등촌동, 가양역데시앙플렉스지식산업센터) 414", ,,기타 시설작물 재배업,2021-08-30,12월
극동수산(주),"KEUKDONG FISHERIES CO., LTD.",극동수산, ,주환신,기타법인,174611-0018116,506-81-15640,서울특별시 송파구 오금로 307 르네상스빌딩 3F, ,,원양 어업,1994-03-22,12월
근오농림(주),"GEUNONGLIM Agricultural Co.,Ltd.",근오농림, ,김병묵,기타법인,131211-0037040,126-86-69872,경기도 여주시 영릉로 312 (하동), ,,작물 재배업,2013-10-10,12월
(주)글로벌냉동식품,Global Frozen Foods,글로벌냉동식품, ,장준,기타법인,121111-0160720,130-86-28787,경기도 부천시 원미구 상동 길주로 87 에이플러스7층711호, ,,작물재배 지원 서비스업,2011-11-23,12월
금성수산(주), ,금성수산, ,"김성운, 김진호",기타법인,180111-0044999,602-81-03587,부산광역시 중구 동광동 2가 7번지, ,,연근해 어업,1982-07-12,12월
금아수산(주),"KEUM-A FISHERIES CO., LTD",금아수산, ,김홍원,기타법인,180111-0461573,602-81-30600,부산광역시 중구 광복로97번길 15, ,,연근해 어업,2003-10-06,12월
