회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
주식회사 595비청라,595b cheongna,595비청라, ,박재영,기타법인,170111-0837081,647-87-02297,대구광역시 중구 달구벌대로 2011 1090,-,,경영 컨설팅업,2021-09-23,12월
(주)9아토엔터테인먼트,"9ATO Entertainment Co., Ltd",9아토엔터테인먼트, ,SHIBATA KUMIKO,기타법인,110111-6324498,463-86-00637,서울특별시 강남구 봉은사로51길 41 2층 (논현동), ,,매니저업,2017-02-21,12월
Alliedus Logistics Limited ,Alliedus Logistics Limited ,AlliedusLogisticsLimited, ,Ho Siu Ping,기타법인, ,  45981  ,"1201, Tower1, 33Canton Road, Tsim Sha Tsui     Kowloon, China, Hong Kong", ,,제조업 회사 본부,2000-03-01,12월
씨지인바이츠(주),"CG Invites Co., Ltd.",CG인바이츠,083790,"오수연, 이호영(공동대표이사)",코스닥시장,160111-0101016,314-81-34562,서울특별시 강서구 마곡중앙8로 38 마곡동,www.cginvites.com,,의학 및 약학 연구개발업,2000-07-07,12월
씨제이바이오사이언스(주),CJ Bioscience,CJ 바이오사이언스,311690,윤상배,코스닥시장,110111-4222503,119-86-23145,서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층,www.cjbioscience.com,,자연과학 및 공학 연구개발업,2009-11-18,12월
"DigiCert, INC.","Digicert, INC.","DigiCert,INC.", ,Michael Johnson,기타법인, ,48859,"Lehi, Utah 84043 United States 2801 N Thanksgiving Way 500", ,,"그 외 기타 전문, 과학 및 기술 서비스업",2003-04-10,12월
DL에너지(주),"DL Energy Co., Ltd.",DL에너지, ,정기동,기타법인,284411-0075258,231-81-03444,경기도 포천시 창수면 포천로2797번길 17, ,,경영 컨설팅업,2013-12-31,12월
(주)DNSC,DNSC,DNSC, ,채홍대,기타법인,110111-3446667,101-86-23407,"서울특별시 중구 퇴계로 235 321호(충무로4가, 남산센트럴자이)",dnsc.co.kr,,광고 대행업,2006-04-25,12월
디엑스앤브이엑스(주),"Dx & Vx Co., Ltd.",DXVX,180400,"권규찬, 유건상 각자대표이사",코스닥시장,110111-2262890,101-81-71321,"서울특별시 금천구 디지털로 173, 1003",www.dxvx.com,,기타 과학기술 서비스업,2001-06-16,12월
이원다이애그노믹스(주),"Eone Diagnomics Genome Center Co., Ltd.",EDGC,245620,대표이사 이민섭,코스닥시장,120111-0658289,131-86-48582,인천광역시 연수구 갯벌로 143 -,www.edgc.com,,의학 및 약학 연구개발업,2013-05-06,12월
"FYSIKUS, LLC","FYSIKUS, LLC","FYSIKUS,LLC", ,JAIBUM KIM,기타법인, ,48446,"Suite 600, Irvine CA 92614, USA 17901 Von Karman Avenue", ,,의학 및 약학 연구개발업,2018-04-12,12월
Hanwha Impact Partners INC.,Hanwha Impact Partners INC.,HanwhaImpactPartnersINC., ,하석원,기타법인, ,6940278,"San Francisco, CA 94107 501 2nd St, Suite 500", ,,기타 전문 서비스업,2018-06-20,12월
Hanwha Power Systems Global Corp.,Hanwha Power Systems Global Corp.,HanwhaPowerSystemsGlobalCorp., ,이구영,기타법인, ,52250,"1440 W Indiantown Rd, Jupiter, FL 33458, USA", ,,기타 전문 서비스업,2021-03-08,12월
Hanwha Power Systems Holdings Corp.,Hanwha Power Systems Holdings Corp.,HanwhaPowerSystemsHoldingsCorp., ,손영창,기타법인, ,883603969,"501 2nd St STE 1010 San Francisco, CA 94107, USA", ,,기타 전문 서비스업,2022-08-04,12월
에이치디현대마린솔루션(주),"HD Hyundai Marine Solution Co., Ltd",HD현대마린솔루션,443060,이기동,유가증권시장,180111-1065811,582-81-00535,경기도 성남시 분당구 분당수서로 477 경기도 성남시 분당구 분당수서로 477,www.hd-marinesolution.com/,,엔지니어링 서비스업,2016-11-28,12월
주식회사 에이치이엠파마,HEM Pharma Inc.,HEM파마,376270,지요셉,코스닥시장,171711-0129857,793-86-00692,경기도 수원시 영통구 창룡대로256번길 50 711호,www.hempharma.bio,,"물리, 화학 및 생물학 연구개발업",2016-12-30,12월
에이치엘비바이오스텝(주),"HLB bioStep Co.,Ltd.",HLB바이오스텝,278650,백성진,코스닥시장,284211-0063231,132-86-05757,인천광역시 연수구 아카데미로79번길 38 -,www.knotus.co.kr,,의학 및 약학 연구개발업,2012-04-19,12월
에이치엘비제약(주),"HLB PHARMACEUTICAL CO., LTD.",HLB제약,047920,박재형,코스닥시장,110111-1538391,208-81-25623,경기도 남양주시 경강로 27,www.hlbpharma.co.kr,,"물리, 화학 및 생물학 연구개발업",1998-04-23,12월
