회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
주식회사 153로지스틱스,153logistics,153로지스틱스, ,강창현,기타법인,110111-5532787,101-86-93427,"경기도 군포시 고산로148번길 17 (당정동, 군포IT밸리) b동 1801호", ,,기타 보관 및 창고업,2014-10-09,12월
씨제이대한통운(주),CJ Logistics Corporation ,CJ대한통운,000120,"신영수, 민영학 (각자 대표)",유가증권시장,110111-0006167,110-81-05034,서울특별시 종로구 종로5길 7(청진동) Tower 8,www.cjlogistics.com,www.cjlogistics.com,도로 화물 운송업,1930-11-15,12월
"Delta Air Lines, Inc.","Delta Air Lines, Inc.","DeltaAirLines,Inc.", ,"Edward H, Bastian",기타법인, ,46961,"1030 Delta Boulevard, Atlanta, GA 30354, United States", ,,항공 운송업,1967-03-16,12월
주식회사 E1물류,E1 Logistics Corporation,E1물류, ,박동만,기타법인,124611-0257243,122-81-68541,인천광역시 계양구 아나지로 528,없음,,일반 화물자동차 운송업,2001-07-10,12월
주식회사 E1 컨테이너 터미널,E1 Container Terminal Corporation,E1컨테이너터미널, ,최석영,기타법인,120111-0432039,121-81-88826,인천광역시 중구 서해대로93번길 42,www.e1ct.co.kr,,항구 및 기타 해상 터미널 운영업,2008-01-01,12월
에이치엠엠(주) ,"HMM CO.,LTD",HMM,011200,최원혁,유가증권시장,110111-0193740,202-81-46197,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원 타워1)",www.hmm21.com,,외항 화물 운송업,1976-03-25,12월
KG벌크터미날 주식회사,"KG BULK TERMINAL.CO.,LTD",KG벌크터미날, ,이재대,기타법인,181211-0009289,610-81-07342,울산광역시 울주군 온산읍 산암리 143-1, ,,수상 화물 취급업,1988-05-03,12월
(주)케이에스에스 해운,KSS LINE LTD.,KSS해운,044450,박찬도,유가증권시장,110111-0377055,101-81-34423,서울특별시 종로구 인사동길 12 대일빌딩 8층,www.kssline.com,,외항 화물 운송업,1984-06-27,12월
M&M통운(주),M&M TRANS Corporation,M&M통운, ,조항철,기타법인,110111-0860729,106-81-43174,인천광역시 중구 축항대로 147 (항동7가),www.mnmtrans.com,,도로 화물 운송업,1992-06-10,12월
PRIME SHIPPING SA,PRIME SHIPPING SA,PRIMESHIPPINGSA, ,LEONIDAS PAPAZIS,기타법인, ,29871,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Marshall Islands MH96960", ,,수상 화물 취급업,2008-05-12,12월
ROAD MAP(주),ROAD MAP,ROADMAP, ,현혜경,기타법인,201311-0028430,416-81-45517,전라남도 순천시 석현동 601-1번지, ,,그 외 기타 운송관련 서비스업,2004-08-17,12월
"S.F. Express Co. , Ltd.","S.F. Express Co. , Ltd.","S.F.ExpressCo.,Ltd.", ,NG WAI TING(응와이팅),기타법인,110111-4472546,107-87-43989,"서울특별시 영등포구 국회대로68길 17 (여의도동, 해운빌딩) 3층",www.sf-express.com/kr/ko/,,택배업,2010-11-17,12월
(주)SH로지스틱스&테크놀로지,SH Logistics & technology,SH로지스틱스&테크놀로지, ,김인석,기타법인,110111-0396831,215-81-55921,서울특별시 금천구 가산동 345-4 에이스하이앤드타워8차 3층,www.shlogistics.com/,,일반 화물자동차 운송업,1985-04-09,12월
SK Shipping Europe PLC.,SK Shipping Europe PLC.,SKShippingEuropePLC., ,Martin Bridge,기타법인, ,3808072,"24 Cornhill, London EC3V 3ND",www.skshippingeurope.com,,외항 화물 운송업,1999-07-12,12월
SK해운 주식회사,"SK SHIPPING CO., LTD",SK해운, ,김성익,기타법인,110111-6364212,171-86-00761,"서울특별시 중구 한강대로 416 (남대문로5가, 서울스퀘어) 21층",www.skshipping.co.kr,,외항 화물 운송업,2017-04-01,12월
(주)SPL,(주)SPL,SPL, ,최태은,기타법인,124411-0227985,631-87-01177,경기도 김포시 고촌읍 아라육로58번길 35-14 (전호리), ,,일반 창고업,2019-02-01,12월
SPP해운주식회사,"SPP SHIPPING CO.,LTD.",SPP해운, ,김인동,기타법인,191211-0013600,612-81-26286,경상남도 통영시 광도면 황리 1609-4,www.spp.co.kr,,내항 화물 운송업,2007-01-24,12월
(주)STX 그린 로지스,STX Green Logis Ltd,STX그린로지스,465770,유재호,유가증권시장,180111-1522465,423-86-02883,부산광역시 중구 중앙대로 102 17층(부산빌딩),www.stxgreenlogis.co.kr/,,해상 운송업,2023-09-01,12월
STX탱크터미널(주),"STX Tank-Terminal Co., Ltd.",STX탱크터미널, ,박태영,기타법인,131311-0037171,125-81-37843,경기도 평택시 포승읍 만호리 644, ,,위험물품 보관업,2001-06-13,12월
"Yamane Shipping Co., Ltd","Yamane Shipping Co., Ltd","YamaneShippingCo.,Ltd", ,FUKUYAMA NORIYOSI,기타법인, ,K0253103,서울특별시 강남구 청담동 76-5 삼성증권 청담지점, ,,외항 화물 운송업,2004-01-01,03월
(주)가나마린,KHANAMARINE LTD.,가나마린, ,정기웅,기타법인,180111-0502658,605-81-70106,부산광역시 동구 초량1동 1209 ~1213, ,,외항 화물 운송업,2005-01-01,12월
주식회사 가야강남,GAYAKANGNAM EXPRESS,가야강남, ,김주덕,기타법인,234111-0028534,621-81-48998,부산광역시 금정구 금사동 39-1, ,,시외버스 운송업,2002-03-15,12월
가야아이비에스(주),GAYAIBS,가야아이비에스, ,이성실,기타법인,184611-0002232,622-81-00963,경상남도 김해시 골든루트로66번길 143 (풍유동), ,,시내버스 운송업,1988-05-09,12월
(주)가이아로지스,GAIA LOGIS,가이아로지스, ,김호일,기타법인,134411-0051449,126-86-53763,경기도 이천시 대월면 대장로 187 (대대리) 527-17,www.gaialogis.co.kr,,일반 창고업,2012-06-29,12월
(주)가이아물류,"gaia mulryu Co,. Ltd",가이아물류, ,김호일,기타법인,131311-0102651,125-81-91911,경기도 평택시 포승읍 홍원농깨길 89 (홍원리) 가이아물류, ,,보관 및 창고업,2010-11-09,06월
(주)가자관광여행사,GAJA EXPRESS TOUR,가자관광여행사, ,정영권,기타법인,131311-0084536,125-81-76676,경기도 평택시 화촌2길 7-26 (통복동) 가자관광여행사, ,,전세버스 운송업,2008-09-01,12월
주식회사 가창물류,KACHANG LOGISPICS.CO.LTD,가창물류, ,이원호,기타법인,134511-0093308,135-81-80522,경기도 용인시 처인구 백암면 가창리 300-2,kstechinc.co.kt,,기타 보관 및 창고업,2005-08-25,12월
가평교통 주식회사,GAPYEONG TRAFFIC CORP.,가평교통, ,박원범,기타법인,115511-0000033,132-81-00913,"경기도 가평군 가평읍 가화로 51 (대곡리, 가평버스터미널)", ,,여객 자동차 터미널 운영업,1965-12-29,12월
(주)가현산업개발,Ga Hyeon,가현산업개발, ,지영만,기타법인,180111-0625509,605-81-87868,부산광역시 서구 암남공원로 82 (암남동), ,,기타 운송관련 서비스업,2008-03-11,12월
주식회사갑산,(JU)GAPSAN,갑산, ,박순만,기타법인,160111-0230774,305-81-89267,대전광역시 중구 중앙로138번길 30(대흥동), ,,주차장 운영업,2007-10-10,12월
강남물류(주),kangnam,강남물류, ,채형석,기타법인,134411-0028810,135-81-77901,경기도 용인시 처인구 양지면 평창리 666-13, ,,일반 창고업,2005-04-27,12월
(주) 강남선박,"Kang Nam Shipping.,ltd",강남선박, ,서말수,기타법인,180111-0387191,605-81-49734,부산광역시 중구 중앙동4가 동방빌딩 5층, ,,기타 해상 운송업,2001-12-07,12월
강남순환도로주식회사,Kangnam Beltway,강남순환도로, ,서근모,기타법인,110111-2566763,114-86-20366,서울특별시 금천구 시흥대로12길 40 (시흥동), ,,도로 및 관련시설 운영업,2002-07-12,12월
강동냉동(주),"KANG DONG NAENG DONG CO.,LTD",강동냉동, ,박희진,기타법인,214911-0004047,603-81-18934,부산광역시 서구 남부민동 523-45,없음,,냉장 및 냉동 창고업,1990-01-15,12월
강동냉장(주),"KANG DONG COLD STORAGE CO.,LTD",강동냉장, ,권병수,기타법인,110111-0882301,135-81-11952,"경기도 용인시 기흥구 동탄기흥로 776 (고매동, 강동냉장)",www.kangdongcs.co.kr,,냉장 및 냉동 창고업,1992-07-29,12월
주식회사 강동물류,"KangDong Logis co., Ltd.",강동물류, ,최기봉,기타법인,110111-6671435,694-87-01052,"서울특별시 양천구 공항대로 538 (목동, 씨디비 빌딩)",www.kangdonglogis.com,,"화물운송 중개, 대리 및 관련 서비스업",2018-03-23,12월
강릉예선(주),"Gangneungtug Co., Ltd.",강릉예선, ,어명수,기타법인,141111-0076717,471-86-02771,강원특별자치도 강릉시 강동면 와천로 470 (상시동리), ,,창고 및 운송관련 서비스업,2022-08-05,12월
주식회사 강서로지스,Gangseologis. lnc.,강서로지스, ,김재우,기타법인,110111-7499050,690-81-01908,"서울특별시 서초구 강남대로51길 10 비1층 106-214호 (서초동, 강남효성해링턴타워)", ,,창고 및 운송관련 서비스업,2020-05-27,12월
(주)강성냉장,"KANGSUNG COLD STORAGE CO., LTD",강성냉장, ,남문성,기타법인,180111-0334043,603-81-43073,부산광역시 사하구 장림동 325-1, ,,냉장 및 냉동 창고업,2000-08-20,12월
강원고속주식회사,KANG WON EXPRSS CO. LTD,강원고속, ,이동진,기타법인,140111-0000105,221-81-00682,강원도 춘천시 경춘로 2341 (온의동), ,,시외버스 운송업,1952-07-07,12월
강원물류주식회사,Kangwon logistics,강원물류, ,노주현,기타법인,145211-0006049,223-81-06533,강원도 홍천군 북방면 도둔길 49 강원물류(주), ,,일반 화물자동차 운송업,2002-07-27,12월
강원여객자동차주식회사,KANGWON EXPRESS,강원여객자동차, ,김기봉,기타법인,141111-0000245,226-81-00066,강원도 강릉시 하슬라로 27, ,,시외버스 운송업,1921-03-28,12월
강원흥업(주),Kangwon Enterprise,강원흥업, ,김진춘,기타법인,141111-0000039,221-81-05106,"강원도 강릉시 하슬라로 27 (홍제동, 강릉시외버스터미널)", ,,시외버스 운송업,1977-01-31,12월
강인교통(주),kangin,강인교통, ,최영락,기타법인,120111-0489064,122-86-04260,인천광역시 부평구 백범로 570 (십정동), ,,시내버스 운송업,2009-04-01,12월
강인여객(주),kangin,강인여객, ,최영락,기타법인,120111-0007733,137-81-04568,인천광역시 부평구 백범로 570 (십정동), ,,시내버스 운송업,1979-04-04,12월
(주)강호,KANG HO,강호, ,김남주,기타법인,191311-0003005,615-81-05145,부산광역시 남구 신선로 446 (용당동) 2층, ,,그 외 기타 운송관련 서비스업,2005-09-23,12월
강호개발(주), ,강호개발, ,이동준,기타법인,124511-0000660,136-81-03377,서울특별시 중구 남대문로2가 118, ,,도로 및 관련시설 운영업,1990-11-20,12월
강화교통(주),Ganghwasunjinbus,강화교통, ,노승후,기타법인,120111-0415564,137-81-77789,"인천광역시 강화군 선원면 중앙로 219 (창리, 선진버스(주)강화지점)", ,,시내버스 운송업,2006-11-13,12월
강화티엘(주),kanghwa t.l.co.ltd,강화티엘, ,신재호,기타법인,124411-0000092,136-81-06409,"인천광역시 강화군 강화읍 중앙로 43 (남산리, 강화여객자동차터미널)", ,,여객 자동차 터미널 운영업,1970-04-27,12월
주식회사 거석로지스틱스,gslogis,거석로지스틱스, ,정순희,기타법인,214711-0646817,269-86-02386,전라북도 부안군 부안읍 군청길 10-2 (동중리), ,,일반 창고업,2021-07-02,12월
주식회사 거성금속,"GeoSeong Metal co., ltd.",거성금속, ,이근철,기타법인,180111-1015931,341-88-00383,부산광역시 동래구 쇠미로 222-13 (온천동), ,,보관 및 창고업,2016-01-26,12월
거양해운(주),"KEOYANG SHIPPING CO., LTD.",거양해운, ,박정원,기타법인,110111-0694780,116-81-38057,서울특별시 영등포구 여의도동 한진해운빌딩6층,www.keoyang.com,,외항 화물 운송업,1990-04-23,12월
거영해운(주),"KEOYOUNG SHIPPING CO., LTD.",거영해운, ,탁재남,기타법인,180111-0412823,605-81-54014,"부산광역시 동구 중앙대로226번길 7-3 (초량동, 거영빌딩) 6층", ,,외항 화물 운송업,2002-06-21,12월
거제선박주식회사,"KEO JE MARITIME CO.,LTD",거제선박, ,최필규,기타법인,180111-0170273,601-81-25875,부산광역시 영도구 대평로28번길 19 (대평동1가) 우림빌딩 4층, ,,내항 화물 운송업,1994-12-26,12월
거제케이블카 주식회사,GOEJECABLECAR,거제케이블카, ,DLTMDRMS,기타법인,194911-0045276,813-81-00797,경상남도 거제시 동부면 거제중앙로 382 (구천리), ,,기타 부정기 여객 육상 운송업,2017-11-02,12월
거제현대고속(주),GEOJE HYUNDAE EXPRESS,거제현대고속, ,양일웅,기타법인,191411-0003251,611-81-08631,"경상남도 창원시 마산합포구 월영동서로 10 (해운동, 마산남부시외버스터미널)", ,,시외버스 운송업,2001-08-01,12월
주식회사 거창물류,-,거창물류, ,민병두,기타법인,134511-0190550,142-81-49271,경기도 용인시 처인구 원삼면 원양로 485 주식회사 거창물류,-,,일반 창고업,2012-07-02,12월
건영화물(주),KUNYOUNG,건영화물, ,김정환,기타법인,170111-0001983,501-81-00915,대구광역시 북구 노원로 125 (노원동3가), ,,"화물운송 중개, 대리 및 관련 서비스업",1971-09-17,12월
건창운수주식회사,KONCHANG,건창운수, ,주윤하,기타법인,130111-0016203,125-81-17599,경기도 안성시 공도면진사리55-8, ,,일반 화물자동차 운송업,1991-02-25,12월
주식회사경광유통,Kyung Kwang Yu Tong Co.,경광유통, ,정인호,기타법인,134211-0021214,126-81-30106,경기도 광주시 실촌읍 봉현리 539-13, ,,기타 보관 및 창고업,1997-09-25,12월
주식회사경기고속,Kyurg Gi Express,경기고속, ,허명회,기타법인,134411-0000016,126-81-00067,경기도 광주시 광주대로 171 (송정동), ,,시내버스 운송업,1961-03-27,12월
경기공항리무진버스(주),GYUNG GI AIRPORT LIMOUSINE CO. LTD,경기공항리무진버스, ,신유철,기타법인,130111-0039487,124-81-49104,경기도 수원시 권선구 산업로 60 (오목천동),ggairportbus.co.kr,,기타 도시 정기 육상 여객 운송업,1997-07-14,12월
경기교통주식회사,kyungi traffic,경기교통, ,장수진,기타법인,131111-0000924,129-81-00085,경기도 성남시 수정구 산성동7,없음,,시내버스 운송업,1974-06-20,12월
