회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
주식회사 2016하이웨이,2016 highway Inc.,2016하이웨이, ,김선웅,기타법인,141211-0081748,796-88-00579,"서울특별시 강남구 테헤란로77길 11-18 (삼성동, 스마트빌딩) 6층", ,,태양력 발전업,2016-11-01,12월
주식회사 2018동부하이웨이솔라,2018 dongbu highway solar Inc.,2018동부하이웨이솔라, ,김선웅,기타법인,141211-0098610,378-87-01164,"서울특별시 강남구 테헤란로77길 11-18 (삼성동, 스마트빌딩) 6층", ,,태양력 발전업,2019-01-01,12월
주식회사 2021서부하이웨이솔라,2021 seobu highway Inc.,2021서부하이웨이솔라, ,김선웅,기타법인,141211-0123615,368-87-02512,"서울특별시 강남구 테헤란로77길 11-18 (삼성동, 스마트빌딩) 6층", ,,태양력 발전업,2021-07-29,12월
GS파워(주),"GS Power Co., Ltd.",GS파워, ,유재영,기타법인,134111-0074744,123-81-57770,경기도 안양시 동안구 부림로 100,www.gspower.co.kr,,발전업,2000-06-07,12월
(주)JW솔라파크 ,JWSOLARPARK,JW솔라파크, ,이정원,기타법인,170111-0503236,504-86-08527,대구광역시 북구 칠곡중앙대로 286 (태전동)2층, ,,전기업,2013-09-03,12월
MS종합가스주식회사,MS GENERAL GAS .CO.LTD.,MS종합가스, ,남택윤,기타법인,184511-0010493,621-81-22305,경상남도 양산시 소주공단2길 48 (주남동),www.msgas.co.kr,,연료용 가스 제조 및 배관공급업,1993-11-30,12월
NIPPON SANSO,NIPPON SANSO,NIPPONSANSO, ,HIROSHI TAGUCHI,기타법인, ,28302,서울특별시 종로구 신문로 1가 226 흥국생명 18층 살로먼스미스바니증권 증권관리팀, ,,연료용 가스 제조 및 배관공급업,1918-07-20,03월
OCI SE 주식회사,"OCI SE Co., Ltd.",OCISE, ,김원현,기타법인,211111-0035867,401-81-47852,"전라북도 군산시 새만금산단3로 213 (오식도동, OCISE)",ocise.co.kr,,전기업,2012-07-31,12월
Pacific Gas Supply Corporation,Pacific Gas Supply Corporation,PacificGasSupplyCorporation, ,"Anthony L, Elshout",기타법인, ,11838,"330 Ignacio Boulevard Ignacio, California 94949, U.S.A.", ,,연료용 가스 제조 및 배관공급업,1982-12-07,12월
(주)PSG,PSG CORPORATION,PSG, ,"문영만, 우지숙",기타법인,195011-0000912,612-81-04093,부산광역시 강서구 과학산단2로19번길 200 (지사동),www.psgas.com,,연료용 가스 제조 및 배관공급업,1993-04-21,12월
SGC에너지(주),"SGC Energy Co.,Ltd.",SGC에너지,005090,"이우성, 박준영, 이복영",유가증권시장,110111-0079817,214-81-89700,"서울특별시 서초구 양재대로 246 2층,3층 한국소비자원",www.sgcenergy.co.kr,,전기업,1967-06-27,12월
(주)가나에너지,Gana Energy Co. Ltd,가나에너지, ,최해두 안종호,기타법인,110111-6161543,182-86-00475,경기도 양주시 남면 삼일로485번길 92 (상수리), ,,"증기, 냉ㆍ온수 및 공기조절 공급업",2016-08-26,12월
가로림조력발전(주),"Garolim Tidal Power Plant Co.,Ltd",가로림조력발전, ,김종선,기타법인,161411-0018834,316-81-10168,충청남도 태안군 원북면 발전로 457 (방갈리) 태안건설본부 내, ,,발전업,1997-09-19,12월
가시리사랑 주식회사,Gashirisarang,가시리사랑, ,오혜택,기타법인,220111-0182112,789-86-01237,"제주특별자치도 제주시 아봉로 88 (아라이동, 다담빌리지) 101동 105호", ,,태양력 발전업,2020-11-01,12월
주식회사 가시태양광발전,Ga-Si Solar Power Inc.,가시태양광발전, ,이은표,기타법인,224111-0040986,158-81-01063,제주특별자치도 서귀포시 표선면 표선중앙로 74 표선면 가시리 1609, ,,태양력 발전업,2018-02-01,12월
